ticker,spread_type,expiry_date,DTE,short_strike,long_strike,p,ro,q,w_star,G,EV,DKL,GROUND,mid_credit,cross_bidask_credit,ba_halfspread_cost,ba_halfspread_pct,short_bid,short_ask,long_bid,long_ask
LOW,bull_put,2026-05-15,3,225.0,222.5,0.486,0.121,0.393,0.3479,0.166448,0.990231,0.125352,0.159766,1.85,0.3500000000000001,1.5,81.08108108108108,2.35,4.7,1.35,2.0
CSX,bear_call,2026-05-15,3,44.0,45.0,0.3714,0.2811,0.3475,0.2556,0.10881,0.7667,0.006717,0.114181,0.75,-0.30000000000000004,1.05,140.0,0.1,1.9,0.1,0.4
GE,bear_call,2026-05-15,3,297.5,300.0,0.4902,0.0839,0.4259,0.2609,0.064917,0.484471,0.177686,0.056152,1.625,0.4500000000000002,1.1749999999999998,72.30769230769229,4.5,6.0,3.2,4.05
MDT,bull_put,2026-05-15,3,77.0,76.0,0.492,0.207,0.301,0.2028,0.026002,0.211082,0.062222,0.024754,0.51,0.22999999999999998,0.28,54.90196078431373,0.75,0.9,0.11,0.52
GE,bull_put,2026-05-15,3,297.5,295.0,0.508,0.085,0.407,0.201,0.028666,0.266395,0.179154,0.024311,1.425,0.14999999999999947,1.2750000000000006,89.47368421052634,4.1,5.7,3.0,3.95
XOM,bull_put,2026-05-15,3,150.0,149.0,0.548,0.073,0.379,0.2186,0.029456,0.251495,0.210226,0.024226,0.535,0.31999999999999984,0.2150000000000002,40.186915887850496,1.94,2.11,1.36,1.62
MMM,bear_call,2026-05-15,3,144.0,145.0,0.5542,0.1075,0.3383,0.2331,0.024011,0.203861,0.165097,0.020603,0.495,0.0,0.495,100.0,1.2,1.57,0.58,1.2
REGN,bull_put,2026-05-15,3,715.0,710.0,0.619,0.067,0.314,0.2447,0.023337,0.186364,0.256878,0.018263,2.25,-3.0999999999999996,5.35,237.77777777777777,5.1,11.5,3.9,8.2
MA,bull_put,2026-05-15,3,500.0,497.5,0.502,0.078,0.42,0.172,0.020102,0.218909,0.189325,0.016803,1.4,0.09999999999999964,1.3000000000000003,92.85714285714289,5.0,5.7,3.0,4.9
DE,bear_call,2026-05-15,3,590.0,595.0,0.5029,0.0897,0.4074,0.1696,0.01902,0.207256,0.170816,0.016187,2.75,-1.6999999999999993,4.449999999999999,161.81818181818178,6.5,11.7,4.5,8.2
