






   k   IS n   IS Sh  ctrl   IS DD  ctrl  | OOT Sh  ctrl   OOT DD  ctrl | bull_put share | Sharpe delta vs k=0 by year 2020..2026
    0   4184   1.25   1.25   -18.0  -18.0 |  1.97   1.97     -8.1   -8.1 |      0.78      | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
   -2   4151   1.28   1.24   -17.6  -18.4 |  1.68   1.96     -8.5   -8.1 |      0.78      | [0.04, 0.01, 0.21, 0.05, 0.18, -0.19, -0.29]
   -4   4127   1.26   1.28   -17.0  -17.3 |  2.12   1.96     -9.3   -8.1 |      0.78      | [-0.27, -0.03, 0.35, 0.11, 0.24, -0.09, 0.14]
   -8   4075   1.28   1.30   -16.7  -16.7 |  1.80   1.99     -7.6   -8.1 |      0.77      | [-0.29, -0.0, 0.25, -0.07, 0.31, 0.05, -0.17]
  -12   4003   1.41   1.36   -14.7  -16.6 |  1.83   2.04     -8.4   -7.2 |      0.76      | [-0.07, 0.14, 0.32, -0.1, 0.39, 0.34, -0.15]
  -16   3916   1.39   1.37   -14.0  -14.8 |  2.18   1.71     -8.4   -8.2 |      0.76      | [-0.05, -0.01, 0.34, -0.08, 0.45, 0.26, 0.2]
  -20   3820   1.32   1.39   -15.0  -14.8 |  2.53   1.59     -8.7   -9.4 |      0.75      | [-0.28, -0.34, 0.47, -0.09, 0.33, 0.56, 0.56]
  -24   3699   1.24   1.40   -14.8  -14.9 |  2.39   1.59     -8.7   -9.4 |      0.74      | [-0.7, -0.19, 0.59, -0.13, -0.2, 0.32, 0.42]
  -32   3315   1.30   1.42   -15.0  -14.0 |  2.40   1.86     -7.3   -9.0 |      0.72      | [-0.21, 0.05, 0.35, -0.45, -0.04, -0.07, 0.42]
  -48   2595   1.19   1.12   -16.2  -12.8 |  2.20   1.57     -6.3   -7.2 |      0.67      | [-0.12, -0.09, 0.1, -0.19, -0.28, -0.24, 0.22]

   k   IS n   IS Sh  ctrl   IS DD  ctrl  | OOT Sh  ctrl   OOT DD  ctrl | bull_put share | Sharpe delta vs k=0 by year 2020..2026
    0   4184   1.25   1.25   -18.0  -18.0 |  1.97   1.97     -8.1   -8.1 |      0.78      | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
   -4   4128   1.27   1.28   -17.0  -17.3 |  2.12   1.96     -9.3   -8.1 |      0.78      | [-0.27, -0.03, 0.37, 0.11, 0.24, -0.09, 0.14]
   -8   4078   1.28   1.31   -16.7  -16.7 |  1.62   1.97     -9.6   -8.1 |      0.77      | [-0.29, -0.03, 0.26, -0.07, 0.31, 0.05, -0.36]
  -12   4007   1.42   1.36   -14.6  -15.9 |  1.72   2.04     -9.5   -7.2 |      0.76      | [-0.07, 0.11, 0.36, -0.1, 0.39, 0.32, -0.25]
  -16   3921   1.40   1.38   -13.9  -14.9 |  2.07   1.68     -9.4   -8.2 |      0.76      | [-0.05, -0.04, 0.38, -0.06, 0.45, 0.26, 0.09]
  -24   3707   1.24   1.41   -14.8  -14.9 |  2.29   1.59     -9.8   -9.4 |      0.74      | [-0.73, -0.21, 0.63, -0.1, -0.15, 0.32, 0.32]
  -32   3331   1.28   1.43   -15.4  -14.0 |  2.37   1.93     -8.4   -9.0 |      0.72      | [-0.26, 0.03, 0.31, -0.42, 0.02, -0.11, 0.4]

   k   IS n   IS Sh  ctrl   IS DD  ctrl  | OOT Sh  ctrl   OOT DD  ctrl | bull_put share | Sharpe delta vs k=0 by year 2020..2026
    0   4184   1.25   1.25   -18.0  -18.0 |  1.97   1.97     -8.1   -8.1 |      0.78      | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
    2   4239   1.24   1.24   -19.0  -18.4 |  2.01   2.07     -7.4   -8.1 |      0.78      | [0.06, -0.13, -0.07, 0.29, 0.07, -0.11, 0.03]
    4   4292   1.31   1.25   -18.7  -19.0 |  2.05   2.07     -8.9   -8.0 |      0.78      | [0.02, 0.05, -0.2, 0.68, 0.18, -0.13, 0.08]
    8   4375   1.32   1.23   -16.9  -20.0 |  2.38   1.95     -6.8   -9.1 |      0.78      | [0.05, 0.25, -0.23, 0.32, 0.35, -0.19, 0.4]
   12   4434   1.36   1.26   -16.5  -18.4 |  2.49   2.00     -6.9   -9.1 |      0.78      | [-0.03, 0.47, -0.26, 0.25, 0.37, -0.12, 0.52]
   16   4484   1.36   1.25   -17.7  -17.8 |  2.47   1.92     -7.6   -9.1 |      0.78      | [-0.16, 0.47, -0.26, 0.22, 0.45, -0.06, 0.49]
   24   4560   1.25   1.26   -19.8  -17.7 |  2.41   1.89     -8.3   -9.1 |      0.77      | [-0.44, 0.39, -0.31, 0.02, 0.35, -0.16, 0.43]
   32   4616   1.28   1.24   -19.0  -18.8 |  2.30   1.90     -8.8   -9.1 |      0.77      | [-0.51, 0.44, -0.28, 0.15, 0.37, -0.23, 0.32]
