
######## IS · canon 252s · fill 1.08 · qty1
  thr  k    n   pnl   yld   sh     dd  calmar  put
0.005  0 4887 27420  8.18 1.19 -21.48    1.27 76.2
0.005  1 4834 26577  7.96 1.19 -20.10    1.33 76.2
0.005  2 4751 27611  8.35 1.24 -19.86    1.38 76.3
0.005  3 4662 28315  8.64 1.28 -20.64    1.35 76.6
0.005  4 4552 30655  9.50 1.37 -16.11    1.82 76.9
0.005  6 4278 27421  8.93 1.28 -17.53    1.56 77.3
0.005  8 3920 21621  7.57 1.15 -17.51    1.34 78.0
0.005 12 3105 22307  9.54 1.38 -13.41    1.79 79.4
0.005 16 2324 18606 10.46 1.49  -8.58    2.47 80.7
0.010  0 4184 25819  9.02 1.20 -20.17    1.30 78.9
0.010  1 3999 24422  8.86 1.20 -15.92    1.59 79.5
0.010  2 3773 23536  8.96 1.19 -17.44    1.42 80.3
0.010  3 3543 21888  8.79 1.19 -16.35    1.45 80.9
0.010  4 3235 23276 10.11 1.29 -13.61    1.81 82.0
0.010  6 2656 21010 10.89 1.27 -12.99    1.77 82.8
0.010  8 2128 17202 10.94 1.25 -10.95    1.84 83.7
0.010 12 1423 15092 14.14 1.45  -6.90    2.68 85.2
0.010 16  990 11838 15.99 1.52  -6.65    2.33 86.7
0.015  0 3347 21188  9.27 1.13 -18.11    1.28 82.4
0.015  1 3025 17949  8.58 1.06 -16.40    1.26 83.9
0.015  2 2724 18786  9.89 1.14 -14.09    1.52 84.9
0.015  3 2407 18212 10.76 1.19 -11.93    1.75 85.4
0.015  4 2080 16589 11.29 1.21 -11.60    1.69 86.4
0.015  6 1539 12178 10.99 1.07 -11.72    1.34 87.4
0.015  8 1165 11281 13.50 1.22 -10.46    1.42 87.0
0.015 12  746  7883 14.90 1.29  -7.88    1.43 87.8
0.015 16  494  5120 14.89 1.05  -7.91    1.00 89.9

######## IS · 52 exp · fill 1.08 · qty1
  thr  k    n   pnl  yld   sh     dd  calmar  put
0.005  0 5107 27363 7.87 1.27 -30.73    0.89 70.9
0.005  1 5092 25348 7.32 1.23 -29.97    0.87 70.7
0.005  2 5067 27343 7.85 1.33 -29.31    0.93 70.9
0.005  3 5039 25193 7.23 1.26 -28.54    0.91 71.1
0.005  4 5010 23557 6.74 1.19 -28.87    0.86 71.1
0.005  6 4918 24617 7.06 1.35 -23.67    1.08 71.0
0.005  8 4736 25533 7.49 1.43 -24.56    1.07 71.5
0.005 12 4218 21415 6.95 1.28 -23.11    1.01 72.9
0.005 16 3508 13965 5.41 0.99 -23.82    0.73 74.9
0.010  0 4888 25712 7.77 1.23 -31.03    0.85 71.2
0.010  1 4825 23286 7.12 1.18 -29.96    0.82 71.4
0.010  2 4737 24581 7.58 1.25 -28.65    0.89 71.6
0.010  3 4612 22690 7.14 1.22 -27.69    0.87 71.9
0.010  4 4471 21321 6.87 1.18 -26.81    0.87 71.9
0.010  6 4039 17959 6.29 1.14 -22.91    0.91 72.9
0.010  8 3555 12446 4.93 0.89 -21.71    0.74 74.3
0.010 12 2597  9507 5.11 0.77 -21.68    0.60 77.8
0.010 16 1919  8376 5.98 0.91 -11.71    1.01 80.7
0.015  0 4523 24542 8.05 1.20 -30.07    0.85 72.1
0.015  1 4351 21152 7.24 1.13 -30.06    0.77 72.1
0.015  2 4116 21406 7.66 1.17 -30.48    0.76 72.8
0.015  3 3868 17850 6.75 1.04 -30.90    0.67 73.2
0.015  4 3568 14395 5.86 0.92 -27.14    0.66 73.8
0.015  6 2942  9743 4.75 0.79 -21.62    0.62 76.2
0.015  8 2386  8496 5.06 0.73 -24.26    0.49 78.6
0.015 12 1599  6432 5.60 0.79  -9.43    1.02 82.6
0.015 16 1138  5251 6.27 0.80  -8.60    0.94 84.8

######## IS · 104 exp · fill 1.08 · qty1
  thr  k    n   pnl   yld   sh     dd  calmar  put
0.005  0 4919 33257  9.83 1.44 -25.89    1.19 72.5
0.005  1 4862 33277  9.92 1.51 -23.18    1.33 72.4
0.005  2 4777 34139 10.28 1.65 -18.42    1.69 72.6
0.005  3 4682 31989  9.74 1.57 -17.50    1.72 72.9
0.005  4 4572 28925  8.95 1.44 -17.14    1.65 73.1
0.005  6 4258 27179  8.88 1.46 -16.49    1.65 73.6
0.005  8 3830 28536 10.24 1.63 -18.13    1.55 74.3
0.005 12 3061 22117  9.90 1.46 -18.70    1.28 75.9
0.005 16 2351 20557 11.91 1.63 -11.02    2.07 79.1
0.010  0 4288 27580  9.38 1.35 -25.72    1.07 74.7
0.010  1 4071 27932  9.97 1.40 -23.05    1.20 75.0
0.010  2 3829 26217  9.84 1.39 -21.77    1.22 75.8
