book,n,first,last,med_cw,win,part,loss,qty1_pnl,qty1_ret,sh_wk,dd,qty2_pnl
"OLD @0.80x LAST, no comm (published)",260,2026-01-05,2026-08-13,0.504,52.7,15.8,31.5,5238,52.38,3.55,-6.34,10476
OLD @0.80x LAST + comm,260,2026-01-05,2026-08-13,0.504,52.7,15.8,31.5,4900,49.0,3.34,-6.6,9800
OLD @1.00x model + comm,259,2026-01-05,2026-08-13,0.432,52.9,15.8,31.3,1492,14.92,1.13,-13.75,2984
OLD @1.04x model + comm,259,2026-01-05,2026-08-13,0.45,52.9,15.8,31.3,2226,22.26,1.6,-12.15,4451
OLD @1.08x model + comm,259,2026-01-05,2026-08-13,0.467,52.9,15.8,31.3,2960,29.6,2.05,-10.68,5919
"NEW @1.00x model, full to 09-11",544,2026-01-02,2026-08-20,0.506,42.8,18.6,38.6,1085,10.85,0.67,-13.53,2170
"NEW @1.00x model, same window",530,2026-01-02,2026-08-13,0.507,43.0,18.3,38.7,1158,11.58,0.71,-13.53,2316
"NEW @1.04x model, full to 09-11",544,2026-01-02,2026-08-20,0.526,42.8,18.6,38.6,2767,27.67,1.53,-9.9,5533
"NEW @1.04x model, same window",530,2026-01-02,2026-08-13,0.527,43.0,18.3,38.7,2797,27.97,1.54,-9.9,5594
"NEW @1.08x model, full to 09-11",544,2026-01-02,2026-08-20,0.546,42.8,18.6,38.6,4446,44.46,2.34,-6.58,8892
"NEW @1.08x model, same window",530,2026-01-02,2026-08-13,0.547,43.0,18.3,38.7,4433,44.33,2.34,-6.58,8866
