n,days,pnl,total_return,cagr,daily_sharpe,weekly_sharpe,max_dd,calmar,yield_pct,full_win,profitable,loss,pnl_per_trade,bp_n,bc_n,book,period
4563,1035,32643.089999999967,326.43089999999984,42.34901227973238,2.43697672304953,1.532191099787783,-13.262270734906457,3.1931946742927866,10.148598854908663,44.093797939951784,53.18869165023011,39.25049309664694,7.1538658777120245,3408,1155,BASE,2020-25
4503,1032,33688.27499999997,336.8827499999995,43.340254949090216,2.487760778856232,1.5490270034900493,-13.305480061133245,3.2573236553630123,10.449576582816583,44.37041972018655,53.34221630024428,39.35154341550078,7.481295802798129,3459,1044,bear_call_min_parity_gex_pct_veto08,2020-25
593,120,4591.334999999992,45.913349999999944,121.1055071231446,3.6401994396511883,3.1905667228589136,-6.258227724742261,19.35140625265953,10.439535828119235,42.49578414839797,52.61382799325464,37.60539629005059,7.742554806070813,467,126,BASE,2026
588,120,5553.579999999993,55.53579999999994,152.8388296652833,4.269926915155409,3.4501184675506855,-6.512590869438794,23.46820685182298,12.711408379040094,43.197278911564624,53.40136054421769,36.734693877551024,9.444863945578218,476,112,bear_call_min_parity_gex_pct_veto08,2026
5156,1155,37234.42499999996,372.34424999999965,40.31722087191876,2.5368545095268717,1.6221873779817915,-13.262270734906457,3.0399938048167985,10.183594431398207,43.9100077579519,53.12257564003103,39.061287820015515,7.2215719550038715,3875,1281,BASE,ALL
5091,1152,39241.85499999997,392.41854999999947,41.72555001162203,2.640368875366749,1.6683511243592135,-13.305480061133245,3.135967272124732,10.719515367504508,44.23492437635042,53.34904733844038,39.04930269102337,7.708083873502252,3935,1156,bear_call_min_parity_gex_pct_veto08,ALL
355,81,4645.070000000014,46.45070000000013,227.70609346707,3.4250401976703575,1.9465143358104993,-12.879063709693494,17.68032976618369,16.610518358369177,45.07042253521127,55.49295774647888,37.46478873239437,13.084704225352153,319,36,BASE,2020
355,81,4645.070000000014,46.45070000000013,227.70609346707,3.4250401976703575,1.9465143358104993,-12.879063709693494,17.68032976618369,16.610518358369177,45.07042253521127,55.49295774647888,37.46478873239437,13.084704225352153,319,36,bear_call_min_parity_gex_pct_veto08,2020
888,193,8739.589999999997,87.39589999999993,127.06108114642079,3.461315046244784,2.2485274674030773,-11.61339648035823,10.940906164817465,14.817364867430914,46.50900900900901,55.4054054054054,38.513513513513516,9.841880630630627,775,113,BASE,2021
881,193,9142.944999999994,91.42944999999993,133.46333269561416,3.613425570011122,2.358603512182369,-10.656345676770673,12.524305868431554,15.541104113445462,46.99205448354143,55.845629965947786,38.25198637911464,10.377917139614068,778,103,bear_call_min_parity_gex_pct_veto08,2021
880,196,2904.764999999986,29.04764999999987,38.80112498924903,1.2261482396871857,0.8274653217913429,-28.04343983296056,1.3836079033230633,5.071437101410385,43.75,51.13636363636363,41.02272727272727,3.300869318181802,382,498,BASE,2022
868,196,3635.0849999999873,36.350849999999845,48.98121814733432,1.4926170678892925,0.9869632296229259,-25.154279779161882,1.9472319850680426,6.230000409610784,44.354838709677416,51.49769585253456,40.89861751152073,4.187885944700446,396,472,bear_call_min_parity_gex_pct_veto08,2022
655,180,1718.6199999999901,17.186199999999907,24.861072283427376,0.9661885970719738,0.6509447912709269,-21.114474695368223,1.1774421406221878,4.428568962189568,41.06870229007634,48.70229007633588,44.58015267175573,2.62384732824426,418,237,BASE,2023
628,178,1405.229999999989,14.052299999999885,20.460297882865962,0.7785825376616428,0.5031518259941883,-23.07991531589262,0.8864979616618085,3.655159264728308,41.40127388535032,48.40764331210191,45.06369426751593,2.2376273885350146,427,201,bear_call_min_parity_gex_pct_veto08,2023
920,196,8932.574999999977,89.32574999999983,127.20215866994056,3.2343152848232717,2.1539685742527426,-10.838676628125732,11.73594923386296,12.25297415902708,44.23913043478261,54.78260869565217,35.21739130434783,9.709320652173888,784,136,BASE,2024
913,195,9369.21499999998,93.69214999999981,134.98333966620183,3.3589269770960857,2.2121965123823353,-11.240055397804593,12.009134731895251,12.832549413906007,44.46878422782037,54.87404162102957,35.59693318729463,10.262009857612245,794,119,bear_call_min_parity_gex_pct_veto08,2024
865,189,5702.470000000005,57.02470000000004,82.51166615024033,2.3076443328445926,1.3054006532073879,-13.808027289386459,5.975630292508397,8.677091505794099,43.69942196531792,53.75722543352601,39.19075144508671,6.592450867052029,730,135,BASE,2025
858,189,5490.730000000004,54.907300000000056,79.23762438209907,2.1945071722523752,1.2330808398613642,-15.871315766245909,4.992505066947036,8.345965885193937,43.473193473193476,53.729603729603724,39.51048951048951,6.39945221445222,745,113,bear_call_min_parity_gex_pct_veto08,2025
593,120,4591.334999999992,45.913349999999944,121.1055071231446,3.6401994396511883,3.1905667228589136,-6.258227724742261,19.35140625265953,10.439535828119235,42.49578414839797,52.61382799325464,37.60539629005059,7.742554806070813,467,126,BASE,2026
588,120,5553.579999999993,55.53579999999994,152.8388296652833,4.269926915155409,3.4501184675506855,-6.512590869438794,23.46820685182298,12.711408379040094,43.197278911564624,53.40136054421769,36.734693877551024,9.444863945578218,476,112,bear_call_min_parity_gex_pct_veto08,2026
