n,days,pnl,total_return,cagr,daily_sharpe,weekly_sharpe,max_dd,calmar,yield_pct,full_win,profitable,loss,pnl_per_trade,bp_n,bc_n,book,period
4563,1035,32643.089999999967,326.43089999999984,42.34901227973238,2.43697672304953,1.532191099787783,-13.262270734906457,3.1931946742927866,10.148598854908663,44.093797939951784,53.18869165023011,39.25049309664694,7.1538658777120245,3408,1155,BASE,2020-25
4472,1031,33414.019999999975,334.1401999999994,43.16978345586693,2.4617600809481734,1.5351994294221487,-14.075828265681277,3.0669444554904484,10.361883301398109,44.387298747763865,53.33184257602862,39.40071556350626,7.4718291592128745,3488,984,bear_call_min_parity_gex_veto08,2020-25
593,120,4591.334999999992,45.913349999999944,121.1055071231446,3.6401994396511883,3.1905667228589136,-6.258227724742261,19.35140625265953,10.439535828119235,42.49578414839797,52.61382799325464,37.60539629005059,7.742554806070813,467,126,BASE,2026
571,120,5888.439999999998,58.88439999999999,164.40559591425435,4.3966318016109165,3.302359706107715,-6.576189383730835,25.00013097569629,13.699966171429418,44.13309982486865,54.46584938704028,36.42732049036778,10.312504378283709,518,53,bear_call_min_parity_gex_veto08,2026
5156,1155,37234.42499999996,372.34424999999965,40.31722087191876,2.5368545095268717,1.6221873779817915,-13.262270734906457,3.0399938048167985,10.183594431398207,43.9100077579519,53.12257564003103,39.061287820015515,7.2215719550038715,3875,1281,BASE,ALL
5043,1151,39302.45999999997,393.02459999999957,41.80667860016734,2.6326691360819505,1.6613186212574984,-14.075828265681277,2.97010433852035,10.75448085582796,44.35851675589927,53.46024191949237,39.06404917707714,7.793468173706121,4006,1037,bear_call_min_parity_gex_veto08,ALL
355,81,4645.070000000014,46.45070000000013,227.70609346707,3.4250401976703575,1.9465143358104993,-12.879063709693494,17.68032976618369,16.610518358369177,45.07042253521127,55.49295774647888,37.46478873239437,13.084704225352153,319,36,BASE,2020
355,81,4645.070000000014,46.45070000000013,227.70609346707,3.4250401976703575,1.9465143358104993,-12.879063709693494,17.68032976618369,16.610518358369177,45.07042253521127,55.49295774647888,37.46478873239437,13.084704225352153,319,36,bear_call_min_parity_gex_veto08,2020
888,193,8739.589999999997,87.39589999999993,127.06108114642079,3.461315046244784,2.2485274674030773,-11.61339648035823,10.940906164817465,14.817364867430914,46.50900900900901,55.4054054054054,38.513513513513516,9.841880630630627,775,113,BASE,2021
881,193,9142.944999999994,91.42944999999993,133.46333269561416,3.613425570011122,2.358603512182369,-10.656345676770673,12.524305868431554,15.541104113445462,46.99205448354143,55.845629965947786,38.25198637911464,10.377917139614068,778,103,bear_call_min_parity_gex_veto08,2021
880,196,2904.764999999986,29.04764999999987,38.80112498924903,1.2261482396871857,0.8274653217913429,-28.04343983296056,1.3836079033230633,5.071437101410385,43.75,51.13636363636363,41.02272727272727,3.300869318181802,382,498,BASE,2022
854,195,3315.3499999999863,33.15349999999986,44.77774373680714,1.3658355623669958,0.9244870646488516,-26.300113350429744,1.7025684695794465,5.704831025773454,44.37939110070258,51.52224824355972,41.10070257611241,3.882142857142841,406,448,bear_call_min_parity_gex_veto08,2022
655,180,1718.6199999999901,17.186199999999907,24.861072283427376,0.9661885970719738,0.6509447912709269,-21.114474695368223,1.1774421406221878,4.428568962189568,41.06870229007634,48.70229007633588,44.58015267175573,2.62384732824426,418,237,BASE,2023
618,178,1331.0249999999892,13.31024999999988,19.352233231239225,0.7357219570675239,0.47267850492725344,-23.149876693272343,0.835954052267727,3.495531528787011,41.262135922330096,48.22006472491909,45.46925566343042,2.1537621359223125,430,188,bear_call_min_parity_gex_veto08,2023
920,196,8932.574999999977,89.32574999999983,127.20215866994056,3.2343152848232717,2.1539685742527426,-10.838676628125732,11.73594923386296,12.25297415902708,44.23913043478261,54.78260869565217,35.21739130434783,9.709320652173888,784,136,BASE,2024
910,195,9395.284999999985,93.95284999999988,135.3921458058673,3.358276466181543,2.228775631698609,-11.093196064925037,12.204971859638922,12.7523102766251,44.395604395604394,54.83516483516484,35.604395604395606,10.324489010988994,801,109,bear_call_min_parity_gex_veto08,2024
865,189,5702.470000000005,57.02470000000004,82.51166615024033,2.3076443328445926,1.3054006532073879,-13.808027289386459,5.975630292508397,8.677091505794099,43.69942196531792,53.75722543352601,39.19075144508671,6.592450867052029,730,135,BASE,2025
854,189,5584.345000000005,55.84345000000006,80.68332409755186,2.209393160565342,1.228630778576823,-16.494962609746665,4.891391754345482,8.485901190642448,43.676814988290396,53.74707259953162,39.34426229508197,6.539045667447312,754,100,bear_call_min_parity_gex_veto08,2025
593,120,4591.334999999992,45.913349999999944,121.1055071231446,3.6401994396511883,3.1905667228589136,-6.258227724742261,19.35140625265953,10.439535828119235,42.49578414839797,52.61382799325464,37.60539629005059,7.742554806070813,467,126,BASE,2026
571,120,5888.439999999998,58.88439999999999,164.40559591425435,4.3966318016109165,3.302359706107715,-6.576189383730835,25.00013097569629,13.699966171429418,44.13309982486865,54.46584938704028,36.42732049036778,10.312504378283709,518,53,bear_call_min_parity_gex_veto08,2026
