n,pnl,full_win,profitable,days,signal,overlay,changed_vs_base
5154.0,37047.52499999996,0.43888242142025613,0.5310438494373302,1155.0,BASE,canon,0.0
5154.0,35731.79499999996,0.43810632518432285,0.530267753201397,1155.0,skew25_level,tilt10,0.00795190069821572
5014.0,31833.139999999967,0.4369764658954926,0.5283207020343039,1153.0,skew25_level,veto_bottom20,0.10046547711404186
5154.0,35897.849999999955,0.4379123011253395,0.530267753201397,1155.0,skew25_change,tilt10,0.006982156710628407
5039.0,35366.40999999996,0.4375868227822981,0.5304623933320103,1152.0,skew25_change,veto_bottom20,0.06419705197827774
5154.0,35708.424999999974,0.4373302289483896,0.529685681024447,1155.0,same_strike_cp_iv,tilt10,0.014158262218774254
4562.0,35865.439999999995,0.45309074967119684,0.5352915387987724,1129.0,same_strike_cp_iv,veto_bottom20,0.2992629945694336
5154.0,36323.49999999996,0.43849437330228946,0.5310438494373302,1155.0,dealer_gex,tilt10,0.013576415826221933
4749.0,40443.794999999984,0.44409349336702464,0.536534007159402,1139.0,dealer_gex,veto_bottom20,0.2356477889837083
5154.0,34674.77999999996,0.4375242530073729,0.5294916569654637,1155.0,oi_pin,tilt10,0.014546159813809134
4898.0,33202.01999999998,0.43527970600245,0.5257247856267865,1147.0,oi_pin,veto_bottom20,0.13518231186966645
5154.0,36703.48499999996,0.43849437330228946,0.5308498253783469,1155.0,oi_pressure_change,tilt10,0.006788207913110966
4974.0,35428.064999999966,0.438681141938078,0.5317651789304383,1152.0,oi_pressure_change,veto_bottom20,0.08882854926299455
5154.0,36600.07499999995,0.43849437330228946,0.5304617772603802,1155.0,atm_term_inversion,tilt10,0.0015515903801396336
5098.0,35807.60499999996,0.43821106316202435,0.5304040800313848,1154.0,atm_term_inversion,veto_bottom20,0.019782777346780467
5154.0,36705.48499999996,0.43849437330228946,0.5308498253783469,1155.0,skew_term_structure,tilt10,0.0021334367726919545
5096.0,37098.67999999996,0.4409340659340659,0.5323783359497645,1155.0,skew_term_structure,veto_bottom20,0.02114041892940266
5154.0,36419.04999999997,0.4383003492433062,0.5308498253783469,1155.0,smile_slope,tilt10,0.013188518231186941
4283.0,27686.64499999999,0.45855708615456453,0.53560588372636,1100.0,smile_slope,veto_bottom20,0.40418929402637704
5154.0,36166.56499999996,0.4375242530073729,0.530267753201397,1155.0,iv_price_residual,tilt10,0.00795190069821572
4777.0,35645.354999999974,0.43855976554322795,0.5298304375130836,1135.0,iv_price_residual,veto_bottom20,0.14507370054305668
