n,pnl,full_win,profitable,days,signal,overlay,changed_vs_base
5146.0,35027.029999999955,0.43548387096774194,0.5307034589972794,1157.0,BASE,canon,0.0
5146.0,34430.69999999995,0.4352895452778857,0.5308977846871357,1157.0,skew25_level,tilt10,0.008935508935508985
5006.0,29278.47999999996,0.4348781462245306,0.5269676388333999,1155.0,skew25_level,veto_bottom20,0.09712509712509709
5146.0,34356.47999999995,0.43470656820831716,0.5299261562378547,1157.0,skew25_change,tilt10,0.006216006216006265
5028.0,35699.52499999995,0.4373508353221957,0.5322195704057279,1151.0,skew25_change,veto_bottom20,0.06468531468531469
5146.0,34955.45999999996,0.43606684803731055,0.5308977846871357,1157.0,same_strike_cp_iv,tilt10,0.016705516705516676
4526.0,31615.669999999976,0.4480777728678745,0.5320371188687583,1132.0,same_strike_cp_iv,veto_bottom20,0.30730380730380735
5146.0,36488.01999999995,0.43684415079673533,0.5326467158958414,1157.0,dealer_gex,tilt10,0.01573426573426573
4728.0,34869.88499999999,0.4397208121827411,0.5317258883248731,1141.0,dealer_gex,veto_bottom20,0.22960372960372966
5146.0,34628.31499999996,0.43548387096774194,0.531286436066848,1157.0,oi_pin,tilt10,0.012237762237762184
4883.0,31582.62499999997,0.4331353676018841,0.5242678681138644,1149.0,oi_pin,veto_bottom20,0.135975135975136
5146.0,35465.31499999996,0.43548387096774194,0.5308977846871357,1157.0,oi_pressure_change,tilt10,0.007770007770007803
4948.0,33945.40999999997,0.43674211802748586,0.5319320937752627,1149.0,oi_pressure_change,veto_bottom20,0.08721833721833727
5146.0,35059.04999999995,0.43548387096774194,0.5305091333074232,1157.0,atm_term_inversion,tilt10,0.00271950271950272
5093.0,34039.09999999996,0.43530335754957783,0.5305321028863146,1154.0,atm_term_inversion,veto_bottom20,0.01903651903651904
5146.0,35374.154999999955,0.43606684803731055,0.5310921103769919,1157.0,skew_term_structure,tilt10,0.002525252525252486
5090.0,35151.999999999956,0.43713163064833005,0.5322200392927309,1154.0,skew_term_structure,veto_bottom20,0.020784770784770812
5146.0,34565.20499999996,0.43509521958802955,0.530314807617567,1157.0,smile_slope,tilt10,0.015151515151515138
4245.0,22636.044999999984,0.45441696113074204,0.5314487632508834,1094.0,smile_slope,veto_bottom20,0.41686091686091686
5146.0,33564.179999999964,0.43354061406917993,0.5289545277885737,1157.0,iv_price_residual,tilt10,0.007187257187257212
4756.0,35993.35499999998,0.4394449116904962,0.5332211942809083,1141.0,iv_price_residual,veto_bottom20,0.14257964257964262
