n,pnl,full_win,profitable,days,stack,overlay,changed_vs_base
4587.0,41453.62999999999,0.460213647264007,0.5432744713320253,1126.0,veto_gex_cp_iv,veto_bottom20,0.2982932505818464
4753.0,41224.38499999998,0.445402903429413,0.539448769198401,1141.0,veto_gex_skewterm,veto_bottom20,0.2286656322730799
4855.0,40245.08999999997,0.4568486096807415,0.5425334706488156,1140.0,veto_gex_cp_iv,veto_bottom10,0.1883242823894492
4228.0,39866.53,0.46050141911069065,0.543282876064333,1102.0,veto_top4_bad,veto_bottom30,0.3923584173778123
4471.0,39241.249999999985,0.44732721986132856,0.5365690002236636,1130.0,veto_gex_skewterm,veto_bottom30,0.32525213343677273
4321.0,39234.36,0.4466558666975237,0.5373756074982643,1111.0,veto_gex_ivresid,veto_bottom30,0.34658650116369283
4977.0,38873.33999999997,0.4444444444444444,0.5368696001607394,1151.0,veto_gex_skewterm,veto_bottom10,0.11927851047323501
5154.0,37812.884999999966,0.44082266201008924,0.5324020178502135,1155.0,stack_equal_core,tilt20,0.028898370830100828
5154.0,37763.14499999996,0.43927046953822274,0.5320139697322468,1155.0,veto_gex_skewterm,tilt20,0.027346780449961194
5154.0,37626.204999999965,0.4402405898331393,0.5324020178502135,1155.0,veto_gex_cp_iv,tilt20,0.025989138867339
5154.0,37225.23999999996,0.4398525417151727,0.5325960419091967,1155.0,veto_gex_ivresid,tilt20,0.03025601241272302
5154.0,37047.52499999996,0.43888242142025613,0.5310438494373302,1155.0,BASE,canon,0.0
4578.0,36942.715,0.4545653123634775,0.5382262996941896,1125.0,veto_top4_bad,veto_bottom20,0.28956555469356093
4264.0,36894.20000000001,0.45661350844277676,0.5368198874296435,1105.0,veto_gex_cp_iv,veto_bottom30,0.39856477889837083
5154.0,36702.93499999997,0.4394644935972061,0.5312378734963136,1155.0,veto_top4_bad,tilt20,0.03044996121024046
5154.0,36572.22499999996,0.4398525417151727,0.5312378734963136,1155.0,stack_equal_all,tilt20,0.027928626842513626
5154.0,36412.32499999997,0.43810632518432285,0.5304617772603802,1155.0,stack_weighted_all,tilt5,0.006206361520558534
4666.0,36400.08499999999,0.44170595799399914,0.5332190312901843,1132.0,veto_gex_ivresid,veto_bottom20,0.23855702094647013
5154.0,36395.609999999964,0.4383003492433062,0.5304617772603802,1155.0,stack_weighted_core,tilt5,0.006982156710628407
5154.0,36366.609999999964,0.4390764454792394,0.5314318975552969,1155.0,stack_equal_core,tilt10,0.015709852598913887
5154.0,36356.369999999966,0.43888242142025613,0.5318199456732635,1155.0,veto_gex_ivresid,tilt10,0.015128006206361566
5154.0,36298.87499999996,0.4386883973612728,0.5310438494373302,1155.0,stack_weighted_all,tilt10,0.014740108611326574
5154.0,36223.23499999997,0.4386883973612728,0.5306558013193636,1155.0,veto_gex_cp_iv,tilt10,0.013770364623739373
5154.0,36183.62999999996,0.4383003492433062,0.5310438494373302,1155.0,veto_gex_skewterm,tilt10,0.014158262218774254
5154.0,36121.75499999996,0.4383003492433062,0.5312378734963136,1155.0,veto_gex_ivresid,tilt5,0.00795190069821572
5154.0,36082.59499999997,0.4383003492433062,0.530267753201397,1155.0,veto_top4_bad,tilt10,0.015903801396431327
5154.0,36042.97999999996,0.43810632518432285,0.5304617772603802,1155.0,veto_gex_skewterm,tilt5,0.00795190069821572
5154.0,35837.38999999996,0.43771827706635624,0.5306558013193636,1155.0,stack_equal_all,tilt10,0.014740108611326574
5154.0,35836.26999999997,0.4379123011253395,0.5308498253783469,1155.0,stack_weighted_core,tilt10,0.015321955003879006
