n,pnl,full_win,profitable,days,stack,overlay,year
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_top4_bad,veto_bottom30,2020
731.0,8559.914999999997,0.5047879616963065,0.5704514363885089,182.0,veto_top4_bad,veto_bottom30,2021
703.0,-72.8950000000084,0.42532005689900426,0.5120910384068279,191.0,veto_top4_bad,veto_bottom30,2022
428.0,-961.8500000000022,0.39485981308411217,0.46261682242990654,156.0,veto_top4_bad,veto_bottom30,2023
761.0,13297.059999999992,0.48620236530880423,0.5781865965834428,190.0,veto_top4_bad,veto_bottom30,2024
691.0,9288.225000000008,0.48914616497829233,0.5745296671490593,185.0,veto_top4_bad,veto_bottom30,2025
524.0,3771.929999999995,0.43702290076335876,0.5076335877862596,119.0,veto_top4_bad,veto_bottom30,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_cp_iv,veto_bottom20,2020
794.0,7902.079999999997,0.5,0.5617128463476071,189.0,veto_gex_cp_iv,veto_bottom20,2021
767.0,-30.97500000001355,0.42633637548891784,0.5084745762711864,191.0,veto_gex_cp_iv,veto_bottom20,2022
490.0,-537.8050000000032,0.40408163265306124,0.47346938775510206,168.0,veto_gex_cp_iv,veto_bottom20,2023
820.0,13733.944999999985,0.49146341463414633,0.5829268292682926,192.0,veto_gex_cp_iv,veto_bottom20,2024
757.0,9198.775000000003,0.4795244385733157,0.5653896961690885,189.0,veto_gex_cp_iv,veto_bottom20,2025
580.0,3350.1249999999955,0.4241379310344828,0.5137931034482759,120.0,veto_gex_cp_iv,veto_bottom20,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_skewterm,veto_bottom10,2020
850.0,6936.939999999989,0.4647058823529412,0.5529411764705883,191.0,veto_gex_skewterm,veto_bottom10,2021
832.0,2162.569999999986,0.43028846153846156,0.5204326923076923,194.0,veto_gex_skewterm,veto_bottom10,2022
615.0,905.1249999999897,0.4097560975609756,0.4813008130081301,181.0,veto_gex_skewterm,veto_bottom10,2023
