n,pnl,full_win,profitable,days,signal,rule
4955.0,40907.59999999996,0.4522704339051463,0.5424823410696267,1144.0,parity_balance,veto0.05
4990.0,40493.18999999997,0.44348697394789577,0.5344689378757514,1151.0,parity_balance_chg,veto0.2
4901.0,39762.07999999997,0.4421546623138135,0.5329524586819017,1148.0,parity_balance_chg,veto0.3
5030.0,39160.96499999997,0.4415506958250497,0.5335984095427435,1151.0,parity_balance_chg,veto0.15
5115.0,39145.29999999996,0.4414467253176931,0.5333333333333333,1152.0,parity_balance_chg,veto0.05
5154.0,39088.46999999996,0.44043461389212263,0.5320139697322468,1155.0,parity_fwd_slope_chg,tilt0.5
4871.0,38787.45499999997,0.4584274276329296,0.5423937589817286,1142.0,parity_fwd_z,veto0.05
5154.0,38773.514999999956,0.43965851765618935,0.5325960419091967,1155.0,parity_balance_chg,tilt0.5
5154.0,38459.10499999997,0.4402405898331393,0.5322079937912301,1155.0,parity_fwd_slope_chg,tilt0.2
4841.0,38430.24999999998,0.4523858706878744,0.5403842181367486,1139.0,parity_balance,veto0.1
4917.0,38417.69499999998,0.450274557657108,0.5395566402277812,1145.0,parity_fwd_slope,veto0.05
5082.0,38269.06999999997,0.4411648957103503,0.5320739866194412,1154.0,parity_fwd_slope_chg,veto0.05
5154.0,38172.55999999996,0.4398525417151727,0.5318199456732635,1155.0,parity_fwd_slope_chg,tilt0.1
5154.0,37946.97499999996,0.43927046953822274,0.5324020178502135,1155.0,parity_balance_chg,tilt0.2
5154.0,37876.679999999964,0.43927046953822274,0.5318199456732635,1155.0,parity_balance_chg,tilt0.1
5097.0,37768.98999999996,0.4396703943496174,0.5326662742789876,1154.0,parity_fwd_iqr,veto0.05
5154.0,37579.97999999997,0.43927046953822274,0.5312378734963136,1155.0,parity_fwd_slope_chg,tilt0.05
5075.0,37564.009999999966,0.4403940886699507,0.5322167487684729,1151.0,parity_balance_chg,veto0.1
5030.0,37437.59999999998,0.4407554671968191,0.5337972166998012,1153.0,parity_fwd_iqr,veto0.15
5154.0,37322.14499999996,0.43927046953822274,0.5312378734963136,1155.0,parity_fwd_z_chg,tilt0.05
5154.0,37290.494999999966,0.4390764454792394,0.5314318975552969,1155.0,parity_fwd_z_chg,tilt0.1
4981.0,37185.054999999964,0.4422806665328247,0.531419393696045,1149.0,parity_fwd_slope_chg,veto0.15
4993.0,37180.09499999997,0.4398157420388544,0.5341478069297015,1151.0,parity_fwd_iqr,veto0.2
5154.0,37125.039999999964,0.4390764454792394,0.5316259216142801,1155.0,parity_balance_chg,tilt0.05
5154.0,37083.684999999954,0.4383003492433062,0.5304617772603802,1155.0,parity_fwd_z_chg,tilt0.5
5154.0,37075.179999999964,0.4386883973612728,0.5312378734963136,1155.0,parity_balance,tilt0.05
4935.0,37064.30499999997,0.44072948328267475,0.5296859169199595,1150.0,parity_fwd_z_chg,veto0.2
5032.0,37056.48499999997,0.44157392686804453,0.5310015898251192,1153.0,parity_fwd_slope_chg,veto0.1
5154.0,37047.52499999996,0.43888242142025613,0.5310438494373302,1155.0,BASE,canon
5154.0,36947.634999999966,0.43965851765618935,0.5320139697322468,1155.0,parity_balance,tilt0.2
5154.0,36893.48999999996,0.43888242142025613,0.5310438494373302,1155.0,parity_balance,tilt0.1
5063.0,36857.30499999997,0.43946276910922377,0.5324906182105471,1154.0,parity_fwd_iqr,veto0.1
5154.0,36755.41999999996,0.4390764454792394,0.5310438494373302,1155.0,parity_fwd_z_chg,tilt0.2
5154.0,36704.049999999974,0.43927046953822274,0.5318199456732635,1155.0,parity_fwd_z,tilt0.5
5154.0,36658.38499999996,0.4386883973612728,0.5312378734963136,1155.0,parity_fwd_iqr,tilt0.1
5154.0,36625.679999999964,0.43771827706635624,0.5308498253783469,1155.0,parity_fwd_slope,tilt0.05
4980.0,36624.82999999996,0.44216867469879517,0.5363453815261044,1146.0,parity_oi_balance,veto0.1
4644.0,36589.789999999986,0.4528423772609819,0.5396210163652024,1134.0,parity_balance,veto0.2
5154.0,36556.77999999997,0.4383003492433062,0.5308498253783469,1155.0,parity_fwd_slope,tilt0.2
5154.0,36517.559999999954,0.43888242142025613,0.5314318975552969,1155.0,parity_fwd_iqr,tilt0.2
5154.0,36475.18999999996,0.43888242142025613,0.5310438494373302,1155.0,parity_fwd_iqr,tilt0.05
4734.0,36463.36999999999,0.452049007182087,0.5399239543726235,1139.0,parity_balance,veto0.15
5154.0,36447.62499999996,0.4383003492433062,0.5312378734963136,1155.0,parity_fwd_slope,tilt0.1
5154.0,36417.529999999955,0.43810632518432285,0.5318199456732635,1155.0,parity_fwd_iqr,tilt0.5
5154.0,36364.74499999997,0.4371362048894063,0.5292976329064804,1155.0,parity_fwd_slope,tilt0.5
5154.0,36234.99999999996,0.4379123011253395,0.5300737291424137,1155.0,parity_fwd_z,tilt0.1
4839.0,36109.05999999997,0.4416201694564993,0.5306881587104774,1144.0,parity_fwd_z_chg,veto0.3
5154.0,36076.16499999998,0.43849437330228946,0.5304617772603802,1155.0,parity_fwd_z,tilt0.2
5154.0,36027.77999999996,0.43849437330228946,0.530267753201397,1155.0,parity_oi_balance,tilt0.1
5154.0,36019.05999999997,0.43771827706635624,0.529685681024447,1155.0,parity_fwd_z,tilt0.05
5063.0,35980.429999999964,0.44025281453683585,0.5334781749950622,1148.0,parity_oi_balance,veto0.05
4982.0,35909.48999999996,0.43958249698916096,0.5297069450020072,1151.0,parity_fwd_z_chg,veto0.15
4448.0,35773.744999999995,0.4590827338129496,0.5379946043165468,1112.0,parity_fwd_z,veto0.2
4791.0,35764.45999999997,0.4535587560008349,0.5364224587768733,1142.0,parity_fwd_slope,veto0.1
5086.0,35704.96499999997,0.4378686590640975,0.5289028706252458,1153.0,parity_fwd_z_chg,veto0.05
4934.0,35685.674999999974,0.441426834211593,0.5306039724361573,1146.0,parity_fwd_slope_chg,veto0.2
5154.0,35667.57999999996,0.43771827706635624,0.5292976329064804,1155.0,parity_oi_balance,tilt0.05
5028.0,35542.56499999997,0.43874303898170247,0.5296340493237868,1152.0,parity_fwd_z_chg,veto0.1
5154.0,35382.87999999996,0.43849437330228946,0.530267753201397,1155.0,parity_oi_balance,tilt0.2
5154.0,35171.244999999966,0.43849437330228946,0.5308498253783469,1155.0,parity_oi_balance,tilt0.5
4683.0,35010.66999999996,0.45526371983771086,0.5370489002775999,1137.0,parity_fwd_slope,veto0.15
