stack,rule,full_win_IS,full_win_OOT,n_IS,n_OOT,pnl_IS,pnl_OOT,profitable_IS,profitable_OOT,d_pnl_IS,d_pnl_OOT,d_fw_IS,d_fw_OOT,d_prof_IS,d_prof_OOT
stack_equal_all,tilt0.01,0.4406928305196229,0.42495784148397975,4561.0,593.0,32567.879999999972,4551.2349999999915,0.5321201490901118,0.5261382799325464,111.69000000000597,-40.100000000000364,0.0,0.0,0.0004385003288752687,0.0
stack_equal_all,tilt0.02,0.44025433019074767,0.42495784148397975,4561.0,593.0,32125.47999999997,4529.744999999992,0.5316816487612366,0.5261382799325464,-330.7099999999955,-61.590000000000146,-0.0004385003288752132,0.0,0.0,0.0
stack_equal_all,tilt0.03,0.43959657969743476,0.42495784148397975,4561.0,593.0,31586.06999999997,4529.744999999992,0.5312431484323613,0.5261382799325464,-870.1199999999953,-61.590000000000146,-0.0010962508221881162,0.0,-0.0004385003288752687,0.0
stack_equal_all,tilt0.05,0.43959657969743476,0.42158516020236086,4561.0,593.0,31684.589999999967,4041.4149999999927,0.5312431484323613,0.5227655986509275,-771.5999999999985,-549.9199999999992,-0.0010962508221881162,-0.0033726812816188834,-0.0004385003288752687,-0.003372681281618828
stack_equal_all,tilt0.075,0.44025433019074767,0.42158516020236086,4561.0,593.0,32276.12999999997,4041.414999999993,0.5323393992545494,0.5227655986509275,-180.05999999999767,-549.9199999999987,-0.0004385003288752132,-0.0033726812816188834,0.0006577504933128475,-0.003372681281618828
stack_equal_all,tilt0.1,0.43959657969743476,0.42327150084317033,4561.0,593.0,31767.93499999997,4069.4549999999927,0.5316816487612366,0.5227655986509275,-688.2549999999974,-521.8799999999992,-0.0010962508221881162,-0.001686340640809414,0.0,-0.003372681281618828
stack_equal_all,tilt0.15,0.44113133084849815,0.42327150084317033,4561.0,593.0,32323.90999999997,3972.499999999992,0.5323393992545494,0.521079258010118,-132.2799999999952,-618.835,0.0004385003288752687,-0.001686340640809414,0.0006577504933128475,-0.005059021922428353
stack_equal_all,tilt0.2,0.44222758167068627,0.42158516020236086,4561.0,593.0,32861.38999999997,3710.834999999991,0.5325586494189871,0.521079258010118,405.20000000000437,-880.5000000000009,0.0015347511510633849,-0.0033726812816188834,0.0008770006577505374,-0.005059021922428353
stack_equal_all,tilt0.3,0.44156983117737336,0.42327150084317033,4561.0,593.0,32270.284999999974,3330.9849999999906,0.5321201490901118,0.5193929173693086,-185.90499999999156,-1260.3500000000013,0.0008770006577504819,-0.001686340640809414,0.0004385003288752687,-0.006745362563237767
stack_equal_all,tilt0.4,0.4413505810129358,0.4266441821247892,4561.0,593.0,32282.38999999997,3591.5599999999913,0.5327778995834247,0.521079258010118,-173.79999999999563,-999.7750000000005,0.000657750493312903,0.0016863406408094694,0.0010962508221881162,-0.005059021922428353
