score_col,rule,is_n,oot_n,d_is_n,d_oot_n,is_pnl,oot_pnl,d_is_pnl,d_oot_pnl,is_fw,oot_fw,d_is_fw,d_oot_fw,is_prof,oot_prof,d_is_prof,d_oot_prof,is_yld,oot_yld,d_is_yld,d_oot_yld,is_daily_sh,oot_daily_sh,d_is_daily_sh,d_oot_daily_sh,is_weekly_sh,oot_weekly_sh,d_is_weekly_sh,d_oot_weekly_sh,is_dd,oot_dd,d_is_dd,d_oot_dd,is_calmar,oot_calmar,d_is_calmar,d_oot_calmar,is_cagr,oot_cagr,d_is_cagr,d_oot_cagr,all_pos,score
r_side_parity_balance_wf,v0.01,4538,589,-25,-4,34269.26499999997,4805.9899999999925,1626.175000000003,214.65500000000065,0.44424856765094756,0.4295415959252971,0.0033105882514297136,0.004583754441317367,0.5345967386513882,0.5280135823429541,0.0027098221490871044,0.0018753024104077864,10.678770218037922,10.861558905886616,0.5301713631292593,0.42202307776738124,2.563935932903273,3.8662490447768376,0.1269592098537431,0.2260496051256493,1.6160979493259067,3.459810774211535,0.08390684953812366,0.2692440513526213,-12.879063709693494,-6.207917575987077,0.3832070252129629,0.0503101487551838,3.3893817071434285,20.617460623911352,0.19618703285064187,1.2660543712518226,43.65206294276991,127.99149617940077,1.3030506630375314,6.8859890562561645,True,5.471323406491419
avg_r_side_parity_balance_wf_r_veto_gex_skewterm_wf,v0.01,4535,589,-28,-4,33736.16999999997,4862.549999999993,1093.0800000000017,271.21500000000106,0.4429988974641676,0.4312393887945671,0.0020609180646497527,0.006281547310587332,0.533406835722161,0.533106960950764,0.0015199192198598332,0.006968681018217682,10.433487317420294,10.99889028275847,0.28488846251163125,0.5593544546392355,2.5019094914416016,3.817092013833513,0.06493276839207152,0.17689257418232485,1.5851062052243834,3.352197657930066,0.052915105436600385,0.16163093507115223,-13.265776605853407,-5.740398982692785,-0.003505870946950651,0.5178287420494758,3.2586817676247994,22.615905927898666,0.06548709333201286,3.2644996752391364,43.228944358878095,129.82432338118522,0.8799320791457177,8.718816258040619,True,5.378151394942349
avg_r_side_oi_wall_wf_r_veto_gex_skewterm_wf,v0.06,4472,590,-91,-3,33530.509999999966,5070.1049999999905,887.4199999999983,478.7699999999986,0.4418604651162791,0.4288135593220339,0.0009224857167612344,0.0038557178380541623,0.5333184257602862,0.5322033898305085,0.0014315092579850752,0.006065109897962162,10.35310178596162,11.492698320876723,0.20450293105295714,1.0531624927574885,2.4573031645250674,3.9169017903501073,0.020326441475537305,0.276702350698919,1.5454266570711874,3.3896767765162683,0.01323555728340442,0.19911005365735468,-13.50775414911265,-6.035365876581267,-0.24548341420619302,0.22286184816099386,3.202870364772583,22.635917058541917,0.00967569047979655,3.2845108058823875,43.2635854588268,136.6160414002477,0.9145731790944254,15.51053427710309,True,5.184982986127113
avg_local_old_parity,v0.01,4546,592,-17,-1,33306.43499999997,4598.674999999992,663.3450000000012,7.3400000000001455,0.4414870215574131,0.42567567567567566,0.000549042157895252,0.0007178341916959097,0.5323361196656401,0.527027027027027,0.0004492031633389626,0.0008887470944806131,10.334041848940897,10.456705407037642,0.1854429940322344,0.017169578918407424,2.4745797063451267,3.6379947653266607,0.03760298329559664,-0.0022046743245276446,1.5569582954718875,3.1919527312305003,0.02476719568410446,0.0013860083715866445,-13.235563388577386,-6.258227724742261,0.026707346329070347,0.0,3.240135084329367,19.388738889516222,0.04694041003658045,0.03733263685669286,42.88501329619487,121.33914326615889,0.5360010164624924,0.23363614301428015,True,1.298174725051188
r_side_parity_balance_wf,v0.45,3675,490,-888,-103,31156.815000000017,5497.579999999996,-1486.2749999999505,906.2450000000044,0.4492517006802721,0.44285714285714284,0.00831372128075425,0.01789930137316309,0.5352380952380953,0.5469387755102041,0.003351178735794158,0.02080049557765773,11.858160456779196,14.95986949251472,1.7095616018705329,4.520333664395485,2.6328637631775016,4.906944805603935,0.19588704012797153,1.2667453659527466,1.6361041056051553,4.938047528341962,0.10391300581737228,1.7474808054830486,-13.418052708802353,-2.6643400191037836,-0.15578197389589654,3.593887705638477,3.2115448100444444,58.12862793037097,0.01835013575165778,38.77722167771144,43.09267753785699,154.87442965048132,0.743665258124615,33.76892252733671,False,18.005054630368306
r_side_parity_balance_wf,t2.00,4563,593,0,0,33792.27,6201.119999999989,1149.1800000000294,1609.7849999999971,0.44225290379136534,0.448566610455312,0.001314924391847494,0.02360876897133224,0.5312294543063774,0.5430016863406408,-0.0006574621959237748,0.016863406408094472,10.502089865620194,13.731376862203039,0.3534910107115312,3.291841034083804,2.5510801662964533,4.456221469955233,0.11410344324692323,0.8160220303040449,1.6093259795241996,4.129996722818275,0.07713487973641664,0.9394299999593612,-14.778578399039555,-5.852096981708376,-1.5163076641330981,0.4061307430338843,2.928133746395082,29.98090175612405,-0.2650609278977045,10.629495503464522,43.273654133973125,175.45114467590892,0.9246418542407469,54.345637552764316,False,16.154201747122492
min_r_side_local_gex_wf_r_side_parity_balance_wf,v0.50,3403,501,-1160,-92,30028.28999999999,5439.034999999996,-2614.7999999999774,847.7000000000044,0.4519541580957978,0.4550898203592814,0.011016178696279966,0.030131978875301668,0.5371730825741993,0.5528942115768463,0.005286166071898135,0.026755931644299902,11.465425097492204,13.89188712882413,1.3168262425835415,3.452351300704896,2.5273518684159355,4.266607221582277,0.09037514536640545,0.6264077819310883,1.5335310883645836,3.633745808838702,0.0013399885768006214,0.4431790859797884,-19.69230357473496,-5.768020612907831,-6.430032839828504,0.49020711183442955,2.2165421531361758,26.494810654968298,-0.9766525211566108,7.143404402308768,43.64882096575424,152.82261399294717,1.299808686021862,31.717106869802564,False,16.036475497838797
avg_r_side_oi_wall_wf_r_side_parity_balance_wf,v0.70,2410,265,-2153,-328,16712.105,4133.8899999999985,-15930.984999999968,-457.44499999999334,0.43900414937759336,0.5018867924528302,-0.0019338300219244875,0.07692895096885044,0.5261410788381743,0.5886792452830188,-0.0057458376641268405,0.06254096535047249,9.498455487636797,19.246874976720616,-0.6501433672718662,8.80733914860138,1.9722842991278773,5.598833411433295,-0.4646924239216528,1.958633971782107,1.250885961547439,4.941427749211951,-0.281305138240344,1.7508610263530375,-25.562229739552535,-3.248660932328651,-12.299959004646078,3.00956679241361,1.335546984226871,60.76000101263764,-1.8576476900659156,41.40859475997811,34.13955883877382,197.38864153800515,-8.209453440958555,76.28313441486054,False,15.43696098095762
min_r_side_same_oi_pc_wf_r_veto_gex_cp_iv_wf,v0.60,2687,273,-1876,-320,21704.669999999995,4151.525000000006,-10938.419999999973,-439.80999999998585,0.4544101228135467,0.4835164835164835,0.013472143414028859,0.05855864203250377,0.5325641979903237,0.5567765567765568,0.0006772814880225964,0.030638276844010437,10.262745407700319,17.399846183184536,0.11414655279165586,6.960310355065301,2.2340983835311614,5.233792077979638,-0.20287833951836864,1.5935926383284498,1.317307258088033,4.622161425057586,-0.21488384169975006,1.4315947021986721,-29.314346827000826,-4.113656775401797,-16.052076092094367,2.144570949340464,1.3933656134377055,47.29477904490715,-1.799829060855081,27.943372792247622,40.84560284912966,194.55448825921323,-1.5034094306027157,73.44898113606862,False,15.31801787743539
avg_r_side_local_gex_wf_r_side_parity_balance_wf,v0.30,4127,552,-436,-41,32006.520000000004,5937.169999999991,-636.5699999999633,1345.8349999999991,0.44245214441482916,0.4492753623188406,0.0015141650153113195,0.02431752083486083,0.5301671916646474,0.5434782608695652,-0.0017197248376537022,0.01733998093701883,11.078313675870548,14.462034774631807,0.9297148209618857,4.022498946512572,2.580490314732472,4.84273576171517,0.14351359168294175,1.202536322063982,1.6320798912612537,3.9145699492414305,0.09988879147347074,0.7240032263825169,-12.924212119282307,-5.544519624283217,0.3380586156241492,0.7137081004590433,3.304542146964451,29.959571367239324,0.11134747267166434,10.608165114579794,42.70860366447713,166.11143138077202,0.3595913847447534,45.00592425762741,False,15.095544194663995
avg_r_side_local_gex_wf_r_side_parity_balance_wf,t3.00,4563,593,0,0,32504.709999999992,6050.619999999995,-138.37999999997555,1459.2850000000035,0.4400613631382862,0.4536256323777403,-0.0008766162612316442,0.028667790893760536,0.5292570677186061,0.5413153456998314,-0.002629848783694988,0.015177065767285058,10.299396511133459,13.8037629993028,0.15079765622479613,3.3642271711835647,2.499849969410298,4.689317845321241,0.06287324636076796,1.049118405670053,1.5631961184517253,4.321019617621724,0.03100501866394234,1.1304528947628105,-15.973872831597568,-4.734633008781142,-2.711602096691111,1.523594715961119,2.6440928714865692,35.92783512263335,-0.5491018028062173,16.576428869973817,42.23640328406011,170.1051141056663,-0.11260899567226801,48.9996069825217,False,15.070995719058308
r_side_parity_balance_wf,v0.40,3784,506,-779,-87,30883.680000000008,5489.0499999999965,-1759.4099999999598,897.7150000000047,0.4487315010570824,0.4407114624505929,0.007793521657564584,0.015753620966613147,0.5340909090909091,0.541501976284585,0.002203992588607928,0.015363696352038603,11.422380745581032,14.384461254552582,1.2737818906723692,3.944925426433347,2.570176106743102,4.548794379621905,0.13319938369357187,0.9085949399707163,1.5989696761734795,4.760829415963517,0.06677857638569651,1.5702626931046035,-12.879063709693494,-3.7275466953950454,0.3832070252129629,2.5306810293472153,3.3035418746597536,41.46827500568487,0.11034720036696699,22.116868753025344,42.54652627138324,154.5749314611736,0.19751399165086525,33.469424338029,False,14.469326803165881
avg_r_side_local_gex_wf_r_side_parity_balance_wf,t2.00,4563,593,0,0,33859.94499999999,5825.049999999996,1216.855000000025,1233.7150000000038,0.44049967126890205,0.4451939291736931,-0.0004383081306157943,0.020236087689713356,0.532325224632917,0.5396290050590219,0.00043830813061584983,0.013490725126475533,10.680342384701634,13.226461414939926,0.5317435297929709,2.7869255868206917,2.6048933184779206,4.499419037482633,0.16791659542839055,0.8592195978314443,1.6313736879359715,4.273394783627702,0.09918258814818848,1.0828280607687883,-15.933809037736124,-4.620095140577507,-2.671538302829667,1.6381325841647536,2.719219934068488,35.10645718281665,-0.4739747402242984,15.755050930157118,43.327531161052704,162.1951722332235,0.9785188813203263,41.0896651100789,False,14.301477812555964
r_side_parity_balance_wf,v0.50,3529,473,-1034,-120,28126.120000000024,5517.899999999993,-4516.969999999943,926.5650000000014,0.4434684046472088,0.44820295983086683,0.0025304252476909816,0.023245118346887084,0.5307452536129215,0.5496828752642706,-0.0011416628893796688,0.02354459533172426,11.226496046155615,15.619338665555516,1.0778971912469526,5.179802837436281,2.436198782745048,5.183945263948404,-0.0007779403044820832,1.5437458242972157,1.5149837334524245,5.157018690161371,-0.017207366335358465,1.966451967302457,-14.611978501918765,-3.372590434032352,-1.3497077670123083,2.8856372907099086,2.7810206581029884,46.13327524910931,-0.4121740161897982,26.78186899644978,40.63621406959284,155.58864279572754,-1.712798210139539,34.48313567258293,False,14.256991341813464
