ground,bull_cut,bear_cut,is_n,is_pnl,is_full_win,is_profitable,is_yield_pct,is_weekly_sharpe,is_max_dd,is_calmar,oot_n,oot_pnl,oot_full_win,oot_profitable,oot_yield_pct,oot_weekly_sharpe,oot_max_dd,oot_calmar
0.005,0.0,0.0,5496.0,37492.96999999997,43.922852983988356,53.220524017467255,9.779783962930845,2.597907167535889,-14.394288943486966,3.204863567254516,549.0,3487.4100000000017,41.712204007285976,51.183970856102,8.307956190033774,3.119094977139531,-7.568032045390938,19.20575687794079
0.005,0.0,0.05,5469.0,37802.674999999974,43.95684768696288,53.300420552203335,9.880773122581417,2.620823455216121,-14.596804665100072,3.1762555003933066,546.0,3298.020000000002,41.39194139194139,50.91575091575091,7.8956591853874265,2.9592632087814006,-7.946665779161788,17.00822039553252
0.005,0.0,0.1,5433.0,37381.39999999997,43.9904288606663,53.28547763666482,9.81176191436106,2.588363392046275,-14.567147918090996,3.1647638223173753,539.0,3168.530000000003,41.37291280148423,51.02040816326531,7.672661706746074,2.8827628141420476,-7.737459233085653,16.58887174793047
0.005,0.0,0.15000000000000002,5372.0,37562.369999999966,44.08041697691735,53.3879374534624,9.93700873639699,2.59807265294792,-14.584562236490939,3.170296395363967,533.0,2929.7700000000027,41.275797373358344,50.84427767354597,7.212728683605689,2.6627975088934033,-7.9385402363024715,14.63222918691171
0.005,0.0,0.2,5294.0,36724.914999999964,44.16320362674726,53.437854174537215,9.844650651074016,2.545879999657656,-14.701114388198544,3.105791837530913,518.0,3047.790000000002,41.312741312741316,51.15830115830116,7.7422044245377775,2.8576252780593205,-7.362884680847248,16.587502909066135
0.005,0.0,0.25,5250.0,36421.07999999997,44.19047619047619,53.46666666666666,9.826159033529592,2.5247253883090877,-15.44802982514012,2.9406319749633663,501.0,3342.8049999999985,41.91616766467065,51.896207584830336,8.775486952428727,3.165878392199889,-7.006716016090397,19.630102206452598
0.005,0.0,0.30000000000000004,5156.0,35554.71999999997,44.200930954228085,53.47168347556245,9.783995041232474,2.4868176416802954,-15.943814112527221,2.8106221512981993,495.0,3371.5249999999983,41.81818181818181,51.91919191919192,8.997545074791283,3.223233507675054,-6.944342890614729,20.02777917233213
0.005,0.0,0.35000000000000003,5075.0,35617.15499999998,44.29556650246305,53.556650246305416,9.961748807501314,2.506682086383359,-17.993155375826642,2.496091195823662,476.0,3359.439999999998,42.016806722689076,52.3109243697479,9.391615411861626,3.4248651965662575,-6.211538998163213,22.28628374466073
0.005,0.0,0.4,4957.0,34221.424999999974,44.13960056485778,53.35888642323986,9.804458195453726,2.439293042115708,-19.32682506715905,2.2723689127606543,465.0,3322.624999999998,42.1505376344086,52.25806451612903,9.545745889019539,3.437059296046279,-6.15408133561226,22.17494001696831
0.005,0.0,0.45,4829.0,34314.87999999997,44.23276040588113,53.468627044936845,10.043051079929553,2.447284934466115,-19.9361936166467,2.2169285873913718,444.0,2997.3599999999997,42.11711711711711,52.02702702702703,8.978693665613935,3.166276359336567,-8.139833567057986,14.689020137154381
