config,period,n,pnl,win,sh,dd
canon,2020,355,4645,45.1,2.26,-12.88
canon,2021,880,6009,44.7,1.34,-16.73
canon,2022,872,2785,43.2,1.11,-20.43
canon,2023,656,1067,40.5,0.5,-21.3
canon,2024,923,9559,44.5,2.3,-11.53
canon,2025,866,6589,44.5,1.55,-14.38
canon,2021-25,4197,26010,43.7,1.24,-20.31
canon,IS 2020-25,4552,30655,43.8,1.37,-16.11
canon,2026,594,4372,41.9,2.62,-4.24
market gap,2020,355,4645,45.1,2.26,-12.88
market gap,2021,868,5923,44.9,1.67,-9.56
market gap,2022,900,4339,44.7,1.51,-24.29
market gap,2023,662,2374,42.1,1.06,-17.08
market gap,2024,930,10199,45.5,2.52,-11.0
market gap,2025,871,7196,44.0,1.73,-11.55
market gap,2021-25,4231,30032,44.4,1.54,-16.62
market gap,IS 2020-25,4586,34677,44.4,1.55,-13.32
market gap,2026,594,5241,43.6,3.17,-3.04
own gap,2020,355,4645,45.1,2.26,-12.88
own gap,2021,887,8687,46.4,2.11,-10.74
own gap,2022,880,2905,43.8,1.09,-28.04
own gap,2023,654,1584,41.0,0.65,-21.85
own gap,2024,920,8933,44.2,2.32,-10.6
own gap,2025,865,5702,43.7,1.42,-12.53
own gap,2021-25,4206,27811,44.0,1.46,-15.85
own gap,IS 2020-25,4561,32456,44.1,1.51,-12.88
own gap,2026,593,4591,42.5,2.97,-3.99
