config,period,n,pnl,win,winp,sh,dd
canon,2020,355,4645,45.1,55.5,2.26,-12.88
canon,2021,880,6009,44.7,54.4,1.34,-16.73
canon,2022,872,2785,43.2,51.8,1.11,-20.43
canon,2023,656,1067,40.5,47.7,0.5,-21.3
canon,2024,923,9559,44.5,55.4,2.3,-11.53
canon,2025,866,6589,44.5,54.0,1.55,-14.38
canon,2021-25,4197,26010,43.7,53.0,1.24,-20.31
canon,IS 2020-25,4552,30655,43.8,53.2,1.37,-16.11
canon,2026,594,4372,41.9,52.4,2.62,-4.24
gap83,2020,355,4645,45.1,55.5,2.26,-12.88
gap83,2021,868,5923,44.9,52.4,1.67,-9.56
gap83,2022,900,4339,44.7,51.4,1.51,-24.29
gap83,2023,662,2374,42.1,49.4,1.06,-17.08
gap83,2024,930,10199,45.5,55.9,2.52,-11.0
gap83,2025,871,7196,44.0,54.4,1.73,-11.55
gap83,2021-25,4231,30032,44.4,52.9,1.54,-16.62
gap83,IS 2020-25,4586,34677,44.4,53.1,1.55,-13.32
gap83,2026,594,5241,43.6,53.0,3.17,-3.04
gap93,2020,355,4645,45.1,55.5,2.26,-12.88
gap93,2021,867,5201,44.3,51.8,1.45,-10.28
gap93,2022,900,4494,44.7,51.7,1.53,-24.61
gap93,2023,663,2257,42.5,49.5,1.01,-16.63
gap93,2024,930,10373,45.6,55.9,2.58,-10.62
gap93,2025,874,7297,44.1,54.3,1.78,-10.96
gap93,2021-25,4234,29621,44.3,52.8,1.48,-17.41
gap93,IS 2020-25,4589,34267,44.4,53.0,1.52,-13.8
gap93,2026,593,5067,44.4,53.6,3.19,-3.27
gapSP100,2020,355,4645,45.1,55.5,2.26,-12.88
gapSP100,2021,871,5683,44.3,52.5,1.61,-9.9
gapSP100,2022,913,4526,44.7,51.8,1.61,-21.36
gapSP100,2023,661,2212,42.2,49.0,0.96,-17.49
gapSP100,2024,930,10267,45.5,55.9,2.52,-11.04
gapSP100,2025,874,7212,44.1,54.5,1.79,-10.76
gapSP100,2021-25,4249,29901,44.3,53.0,1.53,-14.85
gapSP100,IS 2020-25,4604,34546,44.3,53.1,1.54,-12.88
gapSP100,2026,590,4579,43.2,52.9,2.89,-2.97
