model,gamma,dPnL,t,yrs_up,n,n_base,side_switch,p_fwer
mkt_ret1z,1.0,-782,-0.67,2,3318,3318,93,1.0
mkt_ret1z,3.0,-1721,-1.1,2,3319,3318,194,1.0
mkt_ret1z,10.0,-3609,-1.13,2,3371,3318,566,1.0
mkt_ret2z,1.0,-1420,-0.5,2,3332,3318,385,1.0
mkt_ret2z,3.0,2923,0.64,3,3431,3318,881,0.95
mkt_ret2z,10.0,-706,-0.11,2,3628,3318,1641,1.0
mkt_ret5z,1.0,-8853,-1.83,0,3436,3318,806,1.0
mkt_ret5z,3.0,-11726,-1.73,0,3569,3318,1424,1.0
mkt_ret5z,10.0,-15549,-1.76,0,3706,3318,2173,1.0
mkt_ret10z,1.0,-5707,-1.07,2,3414,3318,757,1.0
mkt_ret10z,3.0,-7926,-1.18,1,3515,3318,1221,1.0
mkt_ret10z,10.0,-10696,-1.28,1,3686,3318,1941,1.0
mkt_ret20z,1.0,-6914,-1.02,2,3495,3318,1157,1.0
mkt_ret20z,3.0,-7630,-0.89,1,3686,3318,1794,1.0
mkt_ret20z,10.0,-12058,-1.28,1,3793,3318,2401,1.0
mkt_xs5z,1.0,963,0.17,1,3441,3318,985,1.0
mkt_xs5z,3.0,-1819,-0.24,1,3623,3318,1631,1.0
mkt_xs5z,10.0,-2339,-0.26,1,3716,3318,2226,1.0
mkt_xs20z,1.0,-2398,-0.35,2,3425,3318,1067,1.0
mkt_xs20z,3.0,-4056,-0.47,2,3576,3318,1758,1.0
mkt_xs20z,10.0,-7705,-0.72,1,3724,3318,2513,1.0
mkt_rsi2c,1.0,-3634,-0.96,0,3356,3318,579,1.0
mkt_rsi2c,3.0,-406,-0.07,1,3506,3318,1175,1.0
mkt_rsi2c,10.0,-2313,-0.31,1,3685,3318,1876,1.0
mkt_rsi14c,1.0,-6070,-1.02,1,3413,3318,820,1.0
mkt_rsi14c,3.0,-7667,-1.07,2,3512,3318,1270,1.0
mkt_rsi14c,10.0,-10682,-1.24,1,3675,3318,1907,1.0
mkt_clv,1.0,-3153,-1.02,0,3367,3318,597,1.0
mkt_clv,3.0,313,0.06,2,3519,3318,1282,1.0
mkt_clv,10.0,-3454,-0.47,1,3662,3318,2069,1.0
mkt_clv3,1.0,-1374,-0.39,2,3371,3318,549,1.0
mkt_clv3,3.0,-2622,-0.57,2,3421,3318,855,1.0
mkt_clv3,10.0,-3991,-0.7,2,3560,3318,1420,1.0
mkt_dsma10,1.0,-7242,-1.48,1,3421,3318,791,1.0
mkt_dsma10,3.0,-6194,-0.94,1,3568,3318,1365,1.0
mkt_dsma10,10.0,-8818,-1.05,1,3708,3318,2083,1.0
mkt_dsma20,1.0,-8985,-1.49,2,3475,3318,999,1.0
mkt_dsma20,3.0,-9877,-1.27,1,3636,3318,1576,1.0
mkt_dsma20,10.0,-10858,-1.22,1,3761,3318,2221,1.0
mkt_dsma50,1.0,-1403,-0.23,1,3399,3318,738,1.0
mkt_dsma50,3.0,-5735,-0.8,1,3449,3318,1076,1.0
mkt_dsma50,10.0,-8924,-1.06,1,3602,3318,1668,1.0
mkt_macd_h,1.0,-14029,-2.38,0,3504,3318,1030,1.0
mkt_macd_h,3.0,-16916,-2.2,1,3644,3318,1658,1.0
mkt_macd_h,10.0,-16290,-1.71,1,3751,3318,2292,1.0
mkt_macd_slope,1.0,-154,-0.06,1,3346,3318,307,1.0
mkt_macd_slope,3.0,-1881,-0.4,1,3389,3318,665,1.0
mkt_macd_slope,10.0,1072,0.16,2,3533,3318,1216,1.0
mkt_di,1.0,-6472,-1.13,2,3399,3318,719,1.0
mkt_di,3.0,-7307,-1.12,2,3449,3318,1018,1.0
mkt_di,10.0,-10484,-1.38,1,3521,3318,1452,1.0
mkt_pctb,1.0,-7442,-1.35,1,3453,3318,927,1.0
mkt_pctb,3.0,-8594,-1.12,1,3620,3318,1525,1.0
