model,gamma,dPnL,t,yrs_up,n,n_base,side_switch,p_fwer
ridge_all,1.0,-9357,-1.17,0,3734,3318,2150,0.0
ridge_all,3.0,-11954,-1.28,0,3822,3318,2840,0.0
ridge_all,10.0,-12002,-1.2,0,3835,3318,3066,0.0
uni_ret1z,1.0,-1514,-1.55,0,3320,3318,95,0.0
uni_ret1z,3.0,-2623,-1.67,0,3355,3318,262,0.0
uni_ret1z,10.0,-4024,-1.19,1,3492,3318,797,0.0
uni_ret2z,1.0,-1823,-1.0,0,3322,3318,228,0.0
uni_ret2z,3.0,-3986,-1.25,0,3366,3318,619,0.0
uni_ret2z,10.0,-8797,-1.62,1,3554,3318,1550,0.0
uni_ret5z,1.0,-3678,-0.98,0,3442,3318,718,0.0
uni_ret5z,3.0,-2846,-0.45,1,3612,3318,1565,0.0
uni_ret5z,10.0,-4686,-0.58,1,3746,3318,2403,0.0
uni_ret10z,1.0,321,0.11,2,3380,3318,599,0.0
uni_ret10z,3.0,-5343,-0.94,1,3577,3318,1488,0.0
uni_ret10z,10.0,-10344,-1.26,1,3788,3318,2560,0.0
uni_ret20z,1.0,-4793,-1.18,1,3463,3318,819,0.0
uni_ret20z,3.0,-8027,-1.14,1,3680,3318,1860,0.0
uni_ret20z,10.0,-16437,-1.73,1,3818,3318,2776,0.0
uni_xs5z,1.0,379,0.1,2,3485,3318,1099,0.0
uni_xs5z,3.0,2395,0.42,3,3697,3318,2129,0.0
uni_xs5z,10.0,-7854,-1.03,1,3805,3318,2841,0.0
uni_xs20z,1.0,3951,1.22,2,3463,3318,772,0.0
uni_xs20z,3.0,-1620,-0.33,2,3655,3318,1608,0.0
uni_xs20z,10.0,-2243,-0.32,2,3792,3318,2537,0.0
uni_rsi2c,1.0,-3353,-1.21,0,3345,3318,420,0.0
uni_rsi2c,3.0,-4465,-0.97,0,3527,3318,1116,0.0
uni_rsi2c,10.0,-11632,-1.78,1,3713,3318,1951,0.0
uni_rsi14c,1.0,-4987,-1.41,1,3381,3318,619,0.0
uni_rsi14c,3.0,-5632,-0.94,1,3593,3318,1471,0.0
uni_rsi14c,10.0,-8561,-1.04,2,3801,3318,2493,0.0
uni_clv,1.0,2417,0.84,3,3390,3318,611,0.0
