model,months,gamma,dPnL,t,yrs_up,n,n_base,side_switch
ret1z,6,1.0,-6257,-2.39,0,3408,3318,573
ret1z,6,3.0,-10282,-2.38,0,3551,3318,1230
ret2z,6,1.0,-9136,-2.49,0,3447,3318,766
ret2z,6,3.0,-10427,-1.99,1,3615,3318,1598
ret5z,6,1.0,-2338,-0.51,1,3518,3318,1038
ret5z,6,3.0,-7921,-1.13,1,3668,3318,1873
ret10z,6,1.0,3125,0.56,2,3584,3318,1272
ret10z,6,3.0,-501,-0.07,2,3718,3318,2116
ret20z,6,1.0,425,0.08,3,3580,3318,1300
ret20z,6,3.0,3623,0.5,3,3715,3318,2142
xs5z,6,1.0,1718,0.55,2,3441,3318,774
xs5z,6,3.0,-2826,-0.56,3,3598,3318,1587
xs20z,6,1.0,5003,1.28,3,3457,3318,864
xs20z,6,3.0,-4191,-0.73,2,3626,3318,1729
rsi2c,6,1.0,-10638,-2.39,0,3509,3318,1032
rsi2c,6,3.0,-18867,-3.1,0,3683,3318,1908
rsi14c,6,1.0,-2369,-0.47,2,3523,3318,1252
rsi14c,6,3.0,-3670,-0.51,2,3643,3318,2057
clv,6,1.0,-5765,-1.45,0,3468,3318,1030
clv,6,3.0,-11126,-2.04,0,3638,3318,1815
clv3,6,1.0,-5300,-1.22,0,3422,3318,951
clv3,6,3.0,-7026,-1.13,0,3660,3318,1903
dsma10,6,1.0,-3016,-0.59,1,3542,3318,1109
dsma10,6,3.0,-3117,-0.42,1,3673,3318,1956
dsma20,6,1.0,-1943,-0.35,1,3583,3318,1267
dsma20,6,3.0,-1050,-0.14,2,3725,3318,2123
dsma50,6,1.0,-4736,-0.85,1,3431,3318,1154
dsma50,6,3.0,-12443,-1.7,1,3610,3318,2020
macd_h,6,1.0,6900,1.11,3,3631,3318,1305
macd_h,6,3.0,3998,0.49,2,3738,3318,2042
macd_slope,6,1.0,-9127,-2.52,0,3416,3318,676
macd_slope,6,3.0,-16234,-3.06,0,3522,3318,1349
di,6,1.0,-3762,-0.7,1,3535,3318,1205
di,6,3.0,-3065,-0.45,1,3678,3318,2031
