rule,feat,side,tail,q,thr,n_veto,t,dPnL,yrs_up,plateau,p_fwer
ret1z_s lo 5%,ret1z_s,all,lo,0.05,-1.6553350814747396,405,0.7777600857178758,1274.150000000005,3,3,1.0
ret1z_s lo 10%,ret1z_s,all,lo,0.1,-1.2093334278127943,810,1.662570044395238,3512.2750000000087,5,3,0.99
ret1z_s lo 15%,ret1z_s,all,lo,0.15,-0.9545266565366958,1214,0.02854097868010482,79.4400000000096,4,3,1.0
ret1z_s lo 20%,ret1z_s,all,lo,0.2,-0.7302072273145291,1619,-0.09473747153961874,-305.2149999999965,4,3,1.0
ret1z_s lo 25%,ret1z_s,all,lo,0.25,-0.5634110053367805,2023,-0.839653985148749,-3006.2799999999916,3,3,1.0
ret1z_s lo 30%,ret1z_s,all,lo,0.3,-0.4196163377900295,2428,-0.9831002901374877,-3914.3699999999844,2,3,1.0
ret1z_s hi 5%,ret1z_s,all,hi,0.05,1.6127244404956187,405,-1.1980289687930659,-1791.7749999999978,1,1,1.0
ret1z_s hi 10%,ret1z_s,all,hi,0.1,1.2426303416767812,810,0.006702871072484623,15.440000000002328,3,1,1.0
ret1z_s hi 15%,ret1z_s,all,hi,0.15,0.9821289651252253,1214,-0.5870374101695359,-1717.5099999999875,1,1,1.0
ret1z_s hi 20%,ret1z_s,all,hi,0.2,0.7920163595817163,1619,-0.5187105833294119,-1749.6399999999885,2,1,1.0
ret1z_s hi 25%,ret1z_s,all,hi,0.25,0.6329929482564082,2023,-1.4482871985970398,-5485.25499999999,2,1,1.0
ret1z_s hi 30%,ret1z_s,all,hi,0.3,0.4982580325999005,2428,-1.200840987700779,-4843.779999999984,1,1,1.0
ret2z_s lo 5%,ret2z_s,all,lo,0.05,-1.6535034426403037,405,0.7717568153976031,1302.2150000000038,4,5,1.0
ret2z_s lo 10%,ret2z_s,all,lo,0.1,-1.2032128122750982,810,0.71143956552441,1676.4750000000058,3,5,1.0
ret2z_s lo 15%,ret2z_s,all,lo,0.15,-0.9188657108083128,1214,0.6155695911397983,1677.8550000000032,4,5,1.0
ret2z_s lo 20%,ret2z_s,all,lo,0.2,-0.7231343057017161,1619,0.3184172376507031,1005.140000000014,5,5,1.0
ret2z_s lo 25%,ret2z_s,all,lo,0.25,-0.5546102794663843,2023,0.16221041813808706,570.835000000021,3,5,1.0
ret2z_s lo 30%,ret2z_s,all,lo,0.3,-0.3948394676783309,2428,-0.4624115955266133,-1808.1249999999854,4,5,1.0
ret2z_s hi 5%,ret2z_s,all,hi,0.05,1.6542436033469454,405,-0.5328941659711828,-905.7899999999936,3,0,1.0
ret2z_s hi 10%,ret2z_s,all,hi,0.1,1.2827132161910768,810,-0.568593161744114,-1400.0149999999958,2,0,1.0
ret2z_s hi 15%,ret2z_s,all,hi,0.15,1.0408105759780846,1214,-0.2401257626345029,-703.3749999999854,3,0,1.0
ret2z_s hi 20%,ret2z_s,all,hi,0.2,0.8457586030164349,1619,-0.5684471458172512,-1862.3799999999756,2,0,1.0
ret2z_s hi 25%,ret2z_s,all,hi,0.25,0.6828829820406407,2023,-1.3423609857584433,-4996.984999999979,0,0,1.0
ret2z_s hi 30%,ret2z_s,all,hi,0.3,0.5486383425140644,2428,-1.23939857651918,-5009.794999999987,1,0,1.0
ret5z_s lo 5%,ret5z_s,all,lo,0.05,-1.4615647331759651,405,-0.043426275620446195,-75.28499999999622,3,2,1.0
ret5z_s lo 10%,ret5z_s,all,lo,0.1,-1.0907011896594718,810,0.29598056391746236,740.3750000000146,4,2,1.0
ret5z_s lo 15%,ret5z_s,all,lo,0.15,-0.8490587995157366,1214,0.005465128281147157,17.465000000014697,3,2,1.0
ret5z_s lo 20%,ret5z_s,all,lo,0.2,-0.6576004001412326,1619,-0.39858168751620315,-1480.4699999999757,2,2,1.0
ret5z_s lo 25%,ret5z_s,all,lo,0.25,-0.5062408896693834,2023,-0.312574883517382,-1280.4499999999898,3,2,1.0
ret5z_s lo 30%,ret5z_s,all,lo,0.3,-0.3628759307996828,2428,-0.38376866657803893,-1777.6849999999868,3,2,1.0
ret5z_s hi 5%,ret5z_s,all,hi,0.05,1.7909908633697715,405,-0.3510888625148814,-502.2849999999962,3,0,1.0
ret5z_s hi 10%,ret5z_s,all,hi,0.1,1.4037364546406341,810,-0.7270882038670715,-1720.8899999999994,1,0,1.0
ret5z_s hi 15%,ret5z_s,all,hi,0.15,1.153339340432282,1214,-0.7507831130426866,-2230.739999999998,1,0,1.0
ret5z_s hi 20%,ret5z_s,all,hi,0.2,0.9519254754148815,1619,-0.8806880726338022,-3131.4149999999936,1,0,1.0
ret5z_s hi 25%,ret5z_s,all,hi,0.25,0.7817573434145312,2023,-1.0169892189882395,-4172.120000000003,2,0,1.0
ret5z_s hi 30%,ret5z_s,all,hi,0.3,0.6279865306568364,2428,-0.3758422355314735,-1678.9200000000128,3,0,1.0
ret10z_s lo 5%,ret10z_s,all,lo,0.05,-1.2954326707965962,405,0.23524585110264426,374.2850000000035,2,3,1.0
ret10z_s lo 10%,ret10z_s,all,lo,0.1,-0.9681683487823419,810,-0.02365165377218102,-56.264999999984866,2,3,1.0
ret10z_s lo 15%,ret10z_s,all,lo,0.15,-0.7252943188134551,1214,0.10532956994869913,318.2250000000131,3,3,1.0
ret10z_s lo 20%,ret10z_s,all,lo,0.2,-0.5491671939001728,1619,-0.12386541945064086,-437.04499999998734,3,3,1.0
ret10z_s lo 25%,ret10z_s,all,lo,0.25,-0.386962514173691,2023,0.022591371095708704,91.41000000001077,3,3,1.0
ret10z_s lo 30%,ret10z_s,all,lo,0.3,-0.25151244191848693,2428,-0.6007900036408652,-2762.694999999978,3,3,1.0
ret10z_s hi 5%,ret10z_s,all,hi,0.05,1.8995135457253045,405,-0.37300651070567625,-597.0499999999993,2,0,1.0
ret10z_s hi 10%,ret10z_s,all,hi,0.1,1.527242722163825,810,-0.4217940490091944,-1028.2350000000006,2,0,1.0
ret10z_s hi 15%,ret10z_s,all,hi,0.15,1.285623785965073,1214,-0.1411441246935824,-458.47000000000116,3,0,1.0
ret10z_s hi 20%,ret10z_s,all,hi,0.2,1.08535355616206,1619,-1.1719386726990741,-4414.619999999995,3,0,1.0
ret10z_s hi 25%,ret10z_s,all,hi,0.25,0.9272038107268676,2023,-1.3986786725697185,-5771.044999999991,3,0,1.0
ret10z_s hi 30%,ret10z_s,all,hi,0.3,0.7786958427631644,2428,-1.5489403159715094,-7033.989999999983,1,0,1.0
ret20z_s lo 5%,ret20z_s,all,lo,0.05,-1.1599644584327047,405,0.6766795984621654,1136.4900000000052,4,3,1.0
ret20z_s lo 10%,ret20z_s,all,lo,0.1,-0.82207317277655,810,0.48848159138031355,1159.8450000000084,4,3,1.0
ret20z_s lo 15%,ret20z_s,all,lo,0.15,-0.6059000117222668,1214,0.06859935308229487,207.09500000000844,4,3,1.0
ret20z_s lo 20%,ret20z_s,all,lo,0.2,-0.4214649049033525,1619,-0.47620661159493405,-1727.2899999999863,3,3,1.0
ret20z_s lo 25%,ret20z_s,all,lo,0.25,-0.2787714340863265,2023,-0.7097853630604011,-2915.129999999983,3,3,1.0
ret20z_s lo 30%,ret20z_s,all,lo,0.3,-0.13070945062186765,2428,-1.1624494836958061,-5338.749999999978,2,3,1.0
ret20z_s hi 5%,ret20z_s,all,hi,0.05,2.0899323462551322,405,-0.21474941272011716,-388.5649999999805,4,0,1.0
ret20z_s hi 10%,ret20z_s,all,hi,0.1,1.6955092006121724,810,-1.1655661051539719,-3026.3299999999654,2,0,1.0
ret20z_s hi 15%,ret20z_s,all,hi,0.15,1.4470008732577908,1214,-1.0535281363372535,-3452.7749999999724,2,0,1.0
ret20z_s hi 20%,ret20z_s,all,hi,0.2,1.2406057676277862,1619,-1.607378015634651,-6080.969999999961,1,0,1.0
ret20z_s hi 25%,ret20z_s,all,hi,0.25,1.0688947384371636,2023,-1.6964791456865909,-6916.65499999997,0,0,1.0
ret20z_s hi 30%,ret20z_s,all,hi,0.3,0.9239242686102713,2428,-1.7155752841362566,-7664.819999999974,0,0,1.0
xs5z_s lo 5%,xs5z_s,all,lo,0.05,-1.4242542822171138,405,-0.8793228158247732,-1235.4749999999985,3,3,1.0
xs5z_s lo 10%,xs5z_s,all,lo,0.1,-1.0335017743453518,810,-0.08756625465442598,-180.30999999999767,5,3,1.0
xs5z_s lo 15%,xs5z_s,all,lo,0.15,-0.8030164098977705,1214,0.028489893931805794,76.78500000000349,4,3,1.0
xs5z_s lo 20%,xs5z_s,all,lo,0.2,-0.6373955221142468,1619,0.28585395077581216,912.025000000016,4,3,1.0
