feat,beta,dPnL,t,yrs_up,swapped,p_fwer
ret1z_s,-0.5,-2781,-0.93,2,675,1.0
ret1z_s,-0.2,-1309,-0.65,3,346,1.0
ret1z_s,0.2,-809,-0.4,3,326,1.0
ret1z_s,0.5,440,0.15,3,646,1.0
ret2z_s,-0.5,58,0.02,5,655,1.0
ret2z_s,-0.2,-2139,-1.13,1,335,1.0
ret2z_s,0.2,-553,-0.26,4,340,1.0
ret2z_s,0.5,96,0.03,2,662,1.0
ret5z_s,-0.5,1083,0.36,2,700,1.0
ret5z_s,-0.2,38,0.02,3,367,1.0
ret5z_s,0.2,864,0.4,4,335,1.0
ret5z_s,0.5,-1589,-0.49,2,646,1.0
ret10z_s,-0.5,-3453,-1.08,2,689,1.0
ret10z_s,-0.2,632,0.29,4,357,1.0
ret10z_s,0.2,1178,0.53,4,334,1.0
ret10z_s,0.5,1803,0.53,4,689,1.0
ret20z_s,-0.5,-2174,-0.65,3,718,1.0
ret20z_s,-0.2,-579,-0.26,2,346,1.0
ret20z_s,0.2,-612,-0.26,3,342,1.0
ret20z_s,0.5,-634,-0.2,3,677,1.0
xs5z_s,-0.5,-2275,-0.71,1,715,1.0
xs5z_s,-0.2,-568,-0.27,2,366,1.0
xs5z_s,0.2,2518,1.31,6,329,0.96
xs5z_s,0.5,1661,0.54,3,692,1.0
xs20z_s,-0.5,-3213,-0.92,2,734,1.0
xs20z_s,-0.2,572,0.24,3,377,1.0
xs20z_s,0.2,-1313,-0.58,1,349,1.0
xs20z_s,0.5,464,0.14,4,702,1.0
rsi2c_s,-0.5,-532,-0.16,3,721,1.0
rsi2c_s,-0.2,-743,-0.34,3,372,1.0
rsi2c_s,0.2,626,0.28,5,345,1.0
rsi2c_s,0.5,-733,-0.23,3,700,1.0
rsi14c_s,-0.5,-3202,-0.95,2,735,1.0
rsi14c_s,-0.2,-525,-0.23,2,371,1.0
rsi14c_s,0.2,-1870,-0.82,2,349,1.0
rsi14c_s,0.5,3842,1.14,5,693,0.995
clv_s,-0.5,-2244,-0.71,1,708,1.0
clv_s,-0.2,-367,-0.18,2,360,1.0
clv_s,0.2,-1564,-0.73,3,333,1.0
clv_s,0.5,-2904,-0.91,2,688,1.0
clv3_s,-0.5,1461,0.5,5,667,1.0
clv3_s,-0.2,1159,0.57,3,338,1.0
clv3_s,0.2,-3096,-1.52,1,323,1.0
clv3_s,0.5,-3882,-1.31,2,671,1.0
dsma10_s,-0.5,-1685,-0.52,3,707,1.0
dsma10_s,-0.2,367,0.17,3,372,1.0
dsma10_s,0.2,934,0.45,4,326,1.0
dsma10_s,0.5,2142,0.67,4,665,1.0
dsma20_s,-0.5,-3056,-0.94,3,713,1.0
dsma20_s,-0.2,669,0.29,3,362,1.0
dsma20_s,0.2,-719,-0.31,3,342,1.0
dsma20_s,0.5,2108,0.63,4,686,1.0
dsma50_s,-0.5,-517,-0.15,4,746,1.0
dsma50_s,-0.2,-758,-0.34,3,361,1.0
dsma50_s,0.2,-330,-0.14,3,363,1.0
dsma50_s,0.5,354,0.11,3,705,1.0
macd_h_s,-0.5,-5132,-1.56,1,699,1.0
macd_h_s,-0.2,-938,-0.42,3,371,1.0
macd_h_s,0.2,-94,-0.04,3,338,1.0
macd_h_s,0.5,3017,0.91,4,684,1.0
macd_slope_s,-0.5,-2073,-0.68,4,666,1.0
macd_slope_s,-0.2,-707,-0.35,3,346,1.0
macd_slope_s,0.2,937,0.46,3,334,1.0
macd_slope_s,0.5,-2206,-0.84,2,668,1.0
di_s,-0.5,226,0.07,3,737,1.0
di_s,-0.2,604,0.29,4,352,1.0
di_s,0.2,-89,-0.04,2,364,1.0
di_s,0.5,1546,0.46,4,696,1.0
pctb_s,-0.5,-1658,-0.5,3,733,1.0
pctb_s,-0.2,85,0.04,3,373,1.0
pctb_s,0.2,-87,-0.04,3,344,1.0
pctb_s,0.5,2520,0.75,4,702,1.0
stoch14_s,-0.5,-1526,-0.48,3,739,1.0
stoch14_s,-0.2,111,0.05,3,366,1.0
stoch14_s,0.2,-1090,-0.48,1,346,1.0
stoch14_s,0.5,5230,1.63,5,677,0.745
upcount10_s,-0.5,-2434,-0.76,3,723,1.0
upcount10_s,-0.2,208,0.1,3,362,1.0
upcount10_s,0.2,-2106,-0.91,0,340,1.0
upcount10_s,0.5,-2014,-0.64,3,677,1.0
gap_s,-0.5,-611,-0.24,3,513,1.0
gap_s,-0.2,159,0.09,3,255,1.0
gap_s,0.2,-2319,-1.28,2,268,1.0
gap_s,0.5,-403,-0.15,2,532,1.0
spy_ret1z_s,-0.5,-1348,-0.63,2,279,1.0
spy_ret1z_s,-0.2,288,0.19,2,155,1.0
spy_ret1z_s,0.2,1619,1.12,5,148,0.995
spy_ret1z_s,0.5,295,0.15,5,263,1.0
spy_ret5z_s,-0.5,2409,1.11,5,306,0.995
spy_ret5z_s,-0.2,49,0.03,2,156,1.0
spy_ret5z_s,0.2,-410,-0.23,3,151,1.0
spy_ret5z_s,0.5,184,0.07,4,268,1.0
spy_rsi2c_s,-0.5,2214,1.02,4,319,1.0
spy_rsi2c_s,-0.2,-512,-0.37,2,167,1.0
spy_rsi2c_s,0.2,-223,-0.14,3,159,1.0
spy_rsi2c_s,0.5,2175,0.82,4,309,1.0
spy_dsma20_s,-0.5,1655,0.7,3,309,1.0
spy_dsma20_s,-0.2,1449,0.94,4,162,1.0
spy_dsma20_s,0.2,-529,-0.27,3,169,1.0
spy_dsma20_s,0.5,-541,-0.19,4,288,1.0
ret_today_s,-0.5,-1523,-0.6,4,590,1.0
ret_today_s,-0.2,-2303,-1.14,2,315,1.0
ret_today_s,0.2,-2329,-1.17,3,300,1.0
ret_today_s,0.5,-2120,-0.77,3,595,1.0
peer_ret1z_s,-0.5,-3124,-1.16,2,562,1.0
peer_ret1z_s,-0.2,-1687,-0.88,2,300,1.0
peer_ret1z_s,0.2,2888,1.39,5,272,0.93
