feat,grp,op,thr,lab,n_veto,veto_pnl,rest_pnl,diff,t,yrs,all_yrs
ret1z_s,all,<=,-1.1883775481292465,bottom 10%,400,4.79,6.26,-1.47,-0.35,"[np.float64(-13.2), np.float64(5.5), np.float64(-4.7)]",False
ret1z_s,all,<=,-0.7319593033707913,bottom 20%,799,6.51,6.02,0.49,0.16,"[np.float64(-8.5), np.float64(-1.2), np.float64(7.0)]",False
ret1z_s,all,>=,0.8217694081862885,top 20%,799,6.91,5.92,1.0,0.33,"[np.float64(-2.7), np.float64(4.3), np.float64(-2.7)]",False
ret1z_s,all,>=,1.2603173931135514,top 10%,400,6.29,6.1,0.19,0.05,"[np.float64(-22.6), np.float64(7.6), np.float64(-0.6)]",False
ret2z_s,all,<=,-1.2031980598325536,bottom 10%,400,8.48,5.85,2.63,0.63,"[np.float64(-8.5), np.float64(8.1), np.float64(1.9)]",False
ret2z_s,all,<=,-0.7220331497400971,bottom 20%,799,6.08,6.12,-0.04,-0.01,"[np.float64(-5.2), np.float64(2.8), np.float64(-0.1)]",False
ret2z_s,all,>=,0.8642748277639207,top 20%,799,7.0,5.89,1.1,0.36,"[np.float64(-16.5), np.float64(4.7), np.float64(3.6)]",False
ret2z_s,all,>=,1.297536007144947,top 10%,400,1.96,6.58,-4.62,-1.18,"[np.float64(-23.3), np.float64(-0.9), np.float64(-2.0)]",True
ret5z_s,all,<=,-1.0939439511356308,bottom 10%,400,1.37,6.64,-5.27,-1.22,"[np.float64(-17.3), np.float64(0.1), np.float64(-5.8)]",False
ret5z_s,all,<=,-0.6561292988727434,bottom 20%,799,5.6,6.24,-0.64,-0.2,"[np.float64(-1.3), np.float64(6.1), np.float64(-6.9)]",False
ret5z_s,all,>=,0.9574257609085475,top 20%,799,8.38,5.55,2.84,0.95,"[np.float64(-9.6), np.float64(4.1), np.float64(6.8)]",False
ret5z_s,all,>=,1.4175974857069968,top 10%,400,8.22,5.88,2.34,0.57,"[np.float64(-25.3), np.float64(6.6), np.float64(9.0)]",False
ret10z_s,all,<=,-0.9331830488491163,bottom 10%,400,0.02,6.79,-6.77,-1.61,"[np.float64(5.2), np.float64(1.5), np.float64(-16.7)]",False
ret10z_s,all,<=,-0.5166352329228378,bottom 20%,799,2.54,7.01,-4.47,-1.42,"[np.float64(4.4), np.float64(0.5), np.float64(-10.9)]",False
ret10z_s,all,>=,1.100578803318732,top 20%,799,7.55,5.75,1.8,0.59,"[np.float64(-23.6), np.float64(12.5), np.float64(-0.2)]",False
ret10z_s,all,>=,1.551955131671911,top 10%,400,4.25,6.32,-2.07,-0.52,"[np.float64(-43.9), np.float64(11.5), np.float64(-1.2)]",False
ret20z_s,all,<=,-0.7840041760423624,bottom 10%,400,-6.79,7.55,-14.35,-3.53,"[np.float64(-8.8), np.float64(-15.7), np.float64(-12.0)]",True
ret20z_s,all,<=,-0.3728789313860304,bottom 20%,799,2.26,7.08,-4.82,-1.55,"[np.float64(11.1), np.float64(-5.2), np.float64(-7.9)]",False
ret20z_s,all,>=,1.2654834235677423,top 20%,799,7.57,5.75,1.82,0.6,"[np.float64(-9.1), np.float64(0.3), np.float64(9.1)]",False
ret20z_s,all,>=,1.7133356839413498,top 10%,400,6.27,6.1,0.18,0.04,"[np.float64(-10.3), np.float64(3.3), np.float64(-2.4)]",False
xs5z_s,all,<=,-0.9733002477935828,bottom 10%,400,4.23,6.32,-2.1,-0.48,"[np.float64(-11.0), np.float64(-1.2), np.float64(0.4)]",False
xs5z_s,all,<=,-0.6030219411384277,bottom 20%,799,3.03,6.88,-3.85,-1.22,"[np.float64(-16.8), np.float64(1.4), np.float64(-4.8)]",False
xs5z_s,all,>=,0.6215445564969836,top 20%,799,5.35,6.31,-0.96,-0.32,"[np.float64(-11.0), np.float64(1.4), np.float64(0.6)]",False
xs5z_s,all,>=,1.0776679240802036,top 10%,400,5.78,6.15,-0.38,-0.1,"[np.float64(-23.8), np.float64(4.8), np.float64(1.6)]",False
xs20z_s,all,<=,-0.9396990897852923,bottom 10%,400,-3.81,7.22,-11.03,-2.62,"[np.float64(-22.3), np.float64(-8.2), np.float64(-10.7)]",True
xs20z_s,all,<=,-0.5399566085780088,bottom 20%,799,-2.59,8.29,-10.88,-3.41,"[np.float64(-12.5), np.float64(-11.2), np.float64(-9.4)]",True
xs20z_s,all,>=,0.8205418370508609,top 20%,799,6.5,6.02,0.48,0.16,"[np.float64(-5.2), np.float64(-0.3), np.float64(4.5)]",False
xs20z_s,all,>=,1.2820320858694907,top 10%,400,5.15,6.22,-1.07,-0.26,"[np.float64(-8.5), np.float64(1.6), np.float64(-1.3)]",False
rsi2c_s,all,<=,-39.35929548132804,bottom 10%,400,-0.5,6.85,-7.35,-1.74,"[np.float64(-10.6), np.float64(-2.7), np.float64(-9.5)]",True
rsi2c_s,all,<=,-29.11816617370573,bottom 20%,799,4.22,6.59,-2.36,-0.75,"[np.float64(-0.7), np.float64(-2.2), np.float64(-2.5)]",True
rsi2c_s,all,>=,36.53948041146494,top 20%,799,5.31,6.32,-1.01,-0.34,"[np.float64(-14.3), np.float64(2.9), np.float64(-1.1)]",False
rsi2c_s,all,>=,44.58979133074271,top 10%,400,6.25,6.1,0.15,0.04,"[np.float64(-11.5), np.float64(-0.3), np.float64(6.1)]",False
rsi14c_s,all,<=,-9.176576354932484,bottom 10%,400,1.29,6.65,-5.36,-1.29,"[np.float64(17.2), np.float64(-1.1), np.float64(-12.1)]",False
rsi14c_s,all,<=,-3.93433573651026,bottom 20%,799,4.7,6.47,-1.77,-0.56,"[np.float64(2.8), np.float64(2.1), np.float64(-5.7)]",False
rsi14c_s,all,>=,15.14219977450872,top 20%,799,4.51,6.51,-2.0,-0.66,"[np.float64(-15.8), np.float64(3.4), np.float64(-4.1)]",False
rsi14c_s,all,>=,19.722788745688046,top 10%,400,5.6,6.17,-0.57,-0.14,"[np.float64(-18.9), np.float64(5.0), np.float64(-1.0)]",False
clv_s,all,<=,-0.41220031647444955,bottom 10%,400,9.83,5.7,4.13,0.96,"[np.float64(3.2), np.float64(-4.5), np.float64(15.1)]",False
clv_s,all,<=,-0.30768954260352854,bottom 20%,799,9.63,5.24,4.39,1.41,"[np.float64(-6.1), np.float64(0.8), np.float64(14.0)]",False
clv_s,all,>=,0.3390444992369911,top 20%,799,-0.79,7.84,-8.62,-2.83,"[np.float64(-12.3), np.float64(-5.2), np.float64(-12.4)]",True
clv_s,all,>=,0.4278947504698948,top 10%,400,-5.79,7.44,-13.22,-3.3,"[np.float64(-6.7), np.float64(-18.9), np.float64(-9.7)]",True
clv3_s,all,<=,-0.21114295923846144,bottom 10%,400,10.08,5.67,4.41,1.09,"[np.float64(-8.7), np.float64(8.0), np.float64(7.1)]",False
clv3_s,all,<=,-0.13426212253043138,bottom 20%,799,9.57,5.25,4.32,1.38,"[np.float64(7.2), np.float64(8.3), np.float64(0.6)]",False
clv3_s,all,>=,0.17160763568972628,top 20%,799,4.07,6.63,-2.56,-0.85,"[np.float64(-1.4), np.float64(-4.7), np.float64(-0.4)]",True
clv3_s,all,>=,0.24962027760741543,top 10%,400,5.67,6.16,-0.5,-0.12,"[np.float64(-2.3), np.float64(-2.4), np.float64(3.1)]",False
dsma10_s,all,<=,-1.2072860957922198,bottom 10%,400,-1.46,6.96,-8.41,-1.97,"[np.float64(-4.2), np.float64(-0.1), np.float64(-16.7)]",True
dsma10_s,all,<=,-0.6615251293687808,bottom 20%,799,3.63,6.73,-3.1,-0.98,"[np.float64(6.6), np.float64(1.6), np.float64(-10.6)]",False
dsma10_s,all,>=,1.1486045371525058,top 20%,799,6.11,6.11,-0.0,-0.0,"[np.float64(-20.4), np.float64(5.6), np.float64(1.3)]",False
dsma10_s,all,>=,1.6376817578911678,top 10%,400,9.11,5.78,3.33,0.88,"[np.float64(-27.1), np.float64(12.4), np.float64(3.5)]",False
dsma20_s,all,<=,-1.5056716550122755,bottom 10%,400,5.21,6.21,-1.0,-0.24,"[np.float64(25.0), np.float64(3.3), np.float64(-10.7)]",False
dsma20_s,all,<=,-0.7742336475347839,bottom 20%,799,1.21,7.34,-6.13,-1.92,"[np.float64(0.3), np.float64(0.3), np.float64(-13.7)]",False
dsma20_s,all,>=,1.9239995267688028,top 20%,799,4.45,6.53,-2.08,-0.7,"[np.float64(-26.5), np.float64(3.1), np.float64(1.8)]",False
dsma20_s,all,>=,2.5844037775170126,top 10%,400,12.03,5.46,6.57,1.66,"[np.float64(-25.6), np.float64(17.5), np.float64(3.7)]",False
dsma50_s,all,<=,-1.6587167797341402,bottom 10%,400,0.93,6.69,-5.76,-1.44,"[np.float64(15.3), np.float64(-9.9), np.float64(-4.2)]",False
dsma50_s,all,<=,-0.6914510181443937,bottom 20%,799,8.33,5.56,2.77,0.9,"[np.float64(14.6), np.float64(1.1), np.float64(3.8)]",False
dsma50_s,all,>=,3.577401004831325,top 20%,799,2.7,6.97,-4.26,-1.39,"[np.float64(-19.0), np.float64(1.7), np.float64(-6.4)]",False
dsma50_s,all,>=,4.55423446033021,top 10%,400,1.59,6.62,-5.02,-1.19,"[np.float64(-16.9), np.float64(-0.1), np.float64(-7.4)]",True
macd_h_s,all,<=,-0.2851893301830525,bottom 10%,400,1.74,6.6,-4.86,-1.16,"[np.float64(39.5), np.float64(-4.7), np.float64(-16.6)]",False
macd_h_s,all,<=,-0.18434498158572835,bottom 20%,799,0.07,7.63,-7.56,-2.42,"[np.float64(17.7), np.float64(-8.6), np.float64(-14.6)]",False
macd_h_s,all,>=,0.19324911803469982,top 20%,799,14.43,4.03,10.4,3.49,"[np.float64(-27.3), np.float64(19.5), np.float64(14.5)]",False
macd_h_s,all,>=,0.3001074674022117,top 10%,400,10.82,5.59,5.22,1.32,"[np.float64(-42.3), np.float64(20.2), np.float64(1.8)]",False
macd_slope_s,all,<=,-0.07784736418616624,bottom 10%,400,10.93,5.58,5.35,1.3,"[np.float64(-17.0), np.float64(4.8), np.float64(15.9)]",False
macd_slope_s,all,<=,-0.05426050761360868,bottom 20%,799,7.25,5.83,1.42,0.46,"[np.float64(-13.1), np.float64(4.3), np.float64(4.9)]",False
macd_slope_s,all,>=,0.042812049504659694,top 20%,799,3.27,6.82,-3.55,-1.19,"[np.float64(-16.7), np.float64(-3.8), np.float64(2.2)]",False
macd_slope_s,all,>=,0.0693842177547873,top 10%,400,5.82,6.15,-0.33,-0.08,"[np.float64(-10.7), np.float64(-2.5), np.float64(7.3)]",False
di_s,all,<=,-11.839526620277587,bottom 10%,400,2.79,6.48,-3.7,-0.91,"[np.float64(32.7), np.float64(0.2), np.float64(-14.4)]",False
di_s,all,<=,-6.268041048320507,bottom 20%,799,5.92,6.16,-0.25,-0.08,"[np.float64(12.0), np.float64(1.8), np.float64(-5.2)]",False
di_s,all,>=,15.616839624344523,top 20%,799,5.01,6.39,-1.38,-0.45,"[np.float64(-19.7), np.float64(2.9), np.float64(1.7)]",False
di_s,all,>=,21.296162091095425,top 10%,400,2.35,6.53,-4.18,-1.0,"[np.float64(-33.1), np.float64(5.2), np.float64(-2.6)]",False
pctb_s,all,<=,-0.34908483733581475,bottom 10%,400,5.14,6.22,-1.09,-0.25,"[np.float64(27.4), np.float64(0.9), np.float64(-9.2)]",False
pctb_s,all,<=,-0.201044439778501,bottom 20%,799,1.26,7.33,-6.07,-1.9,"[np.float64(1.0), np.float64(1.9), np.float64(-15.5)]",False
pctb_s,all,>=,0.36771212832710426,top 20%,799,2.6,6.99,-4.4,-1.47,"[np.float64(-25.1), np.float64(3.8), np.float64(-7.2)]",False
pctb_s,all,>=,0.4495116905496081,top 10%,400,8.12,5.89,2.23,0.57,"[np.float64(-25.9), np.float64(11.0), np.float64(3.2)]",False
stoch14_s,all,<=,-0.35174706027122443,bottom 10%,400,-0.96,6.9,-7.86,-1.92,"[np.float64(9.4), np.float64(-7.6), np.float64(-12.3)]",False
stoch14_s,all,<=,-0.22344462964438375,bottom 20%,799,1.93,7.16,-5.23,-1.64,"[np.float64(6.7), np.float64(-2.1), np.float64(-12.0)]",False
stoch14_s,all,>=,0.39254010705659415,top 20%,799,6.82,5.94,0.89,0.3,"[np.float64(-18.2), np.float64(7.6), np.float64(-1.5)]",False
stoch14_s,all,>=,0.4498555970864517,top 10%,400,5.94,6.13,-0.19,-0.05,"[np.float64(-18.9), np.float64(9.1), np.float64(-7.8)]",False
upcount10_s,all,<=,-1.0,bottom 10%,1024,0.03,8.21,-8.18,-2.87,"[np.float64(-3.1), np.float64(-9.4), np.float64(-7.7)]",True
upcount10_s,all,<=,-1.0,bottom 20%,1024,0.03,8.21,-8.18,-2.87,"[np.float64(-3.1), np.float64(-9.4), np.float64(-7.7)]",True
upcount10_s,all,>=,2.0,top 20%,1011,8.95,5.15,3.79,1.36,"[np.float64(-14.6), np.float64(10.8), np.float64(4.2)]",False
upcount10_s,all,>=,2.0,top 10%,1011,8.95,5.15,3.79,1.36,"[np.float64(-14.6), np.float64(10.8), np.float64(4.2)]",False
gap_s,all,<=,-0.4545725879803427,bottom 10%,400,8.92,5.8,3.12,0.78,"[np.float64(-18.6), np.float64(7.4), np.float64(8.4)]",False
gap_s,all,<=,-0.2641118907957433,bottom 20%,799,5.35,6.3,-0.95,-0.31,"[np.float64(-17.8), np.float64(0.8), np.float64(4.7)]",False
gap_s,all,>=,0.2804353158185579,top 20%,799,12.8,4.44,8.35,2.72,"[np.float64(7.5), np.float64(10.0), np.float64(6.9)]",False
gap_s,all,>=,0.42759808999054455,top 10%,400,10.47,5.63,4.84,1.19,"[np.float64(-1.5), np.float64(6.8), np.float64(5.7)]",False
spy_ret1z_s,all,<=,-1.2415312932341542,bottom 10%,413,9.97,5.67,4.3,1.06,"[np.float64(-42.1), np.float64(8.3), np.float64(17.2)]",False
spy_ret1z_s,all,<=,-0.724160662176813,bottom 20%,809,14.5,3.98,10.52,3.42,"[np.float64(-4.0), np.float64(14.7), np.float64(13.4)]",False
spy_ret1z_s,all,>=,0.9118773926116946,top 20%,810,10.52,4.99,5.53,1.79,"[np.float64(-12.5), np.float64(13.3), np.float64(2.0)]",False
spy_ret1z_s,all,>=,1.3281507218765396,top 10%,409,6.27,6.1,0.18,0.04,"[np.float64(-8.1), np.float64(-1.9), np.float64(7.0)]",False
spy_ret5z_s,all,<=,-1.0589597725815778,bottom 10%,407,2.93,6.47,-3.54,-0.88,"[np.float64(-22.4), np.float64(4.9), np.float64(-2.2)]",False
spy_ret5z_s,all,<=,-0.6140323680567652,bottom 20%,818,6.43,6.03,0.39,0.13,"[np.float64(-3.7), np.float64(8.8), np.float64(-2.8)]",False
spy_ret5z_s,all,>=,1.0570744609529115,top 20%,806,7.68,5.72,1.96,0.64,"[np.float64(-25.8), np.float64(2.1), np.float64(17.1)]",False
spy_ret5z_s,all,>=,1.4997849910794585,top 10%,400,5.82,6.15,-0.33,-0.08,"[np.float64(-27.7), np.float64(2.9), np.float64(12.6)]",False
spy_rsi2c_s,all,<=,-39.046954413515294,bottom 10%,413,7.53,5.95,1.58,0.38,"[np.float64(-11.4), np.float64(-0.8), np.float64(10.4)]",False
spy_rsi2c_s,all,<=,-29.361882826088944,bottom 20%,812,7.62,5.73,1.89,0.61,"[np.float64(-7.3), np.float64(3.6), np.float64(5.8)]",False
spy_rsi2c_s,all,>=,40.508077352627964,top 20%,813,8.46,5.51,2.95,0.98,"[np.float64(-8.9), np.float64(-1.0), np.float64(16.6)]",False
spy_rsi2c_s,all,>=,45.76614995329533,top 10%,400,11.17,5.55,5.62,1.36,"[np.float64(-7.6), np.float64(-0.4), np.float64(29.4)]",False
spy_dsma20_s,all,<=,-0.02708860915936151,bottom 10%,406,14.24,5.19,9.04,2.28,"[np.float64(24.3), np.float64(16.7), np.float64(7.0)]",False
spy_dsma20_s,all,<=,-0.011109084728834429,bottom 20%,803,9.61,5.23,4.38,1.45,"[np.float64(13.5), np.float64(21.6), np.float64(-3.1)]",False
spy_dsma20_s,all,>=,0.029665783645010046,top 20%,802,7.23,5.83,1.39,0.46,"[np.float64(-36.5), np.float64(17.8), np.float64(9.4)]",False
spy_dsma20_s,all,>=,0.03799849551706713,top 10%,403,3.84,6.37,-2.53,-0.66,"[np.float64(-29.1), np.float64(nan), np.float64(7.3)]",False
ret_today_s,all,<=,-1.336388578901193,bottom 10%,400,8.99,5.79,3.19,0.74,"[np.float64(-16.3), np.float64(11.6), np.float64(2.0)]",False
ret_today_s,all,<=,-0.8570594953101127,bottom 20%,799,6.79,5.94,0.85,0.27,"[np.float64(-5.0), np.float64(5.7), np.float64(-2.9)]",False
ret_today_s,all,>=,0.7145319135384707,top 20%,799,10.97,4.9,6.07,2.01,"[np.float64(3.2), np.float64(2.5), np.float64(11.8)]",False
ret_today_s,all,>=,1.1690872332311668,top 10%,400,13.32,5.31,8.01,1.95,"[np.float64(2.0), np.float64(2.0), np.float64(19.9)]",False
adx14,bull_put,<=,13.240395279862797,bottom 10%,300,1.56,7.57,-6.02,-1.21,"[np.float64(-26.6), np.float64(-4.5), np.float64(9.7)]",False
adx14,bull_put,<=,15.111678549548907,bottom 20%,599,5.26,7.4,-2.14,-0.58,"[np.float64(-19.6), np.float64(-3.7), np.float64(22.9)]",False
adx14,bull_put,>=,30.581737986700023,top 20%,599,1.4,8.37,-6.97,-1.82,"[np.float64(-16.2), np.float64(-1.7), np.float64(-12.0)]",True
adx14,bull_put,>=,37.543370885049505,top 10%,300,2.4,7.48,-5.08,-0.96,"[np.float64(-15.2), np.float64(0.3), np.float64(-7.8)]",False
adx14,bear_call,<=,16.320413733576878,bottom 20%,201,7.67,2.53,5.14,0.97,"[np.float64(1.9), np.float64(6.4), np.float64(6.5)]",False
adx14,bear_call,>=,31.057553154694585,top 20%,201,-0.55,4.59,-5.15,-1.02,"[np.float64(-15.7), np.float64(6.6), np.float64(-5.9)]",False
bbw_pct,bull_put,<=,0.08333333333333333,bottom 10%,315,5.96,7.09,-1.13,-0.23,"[np.float64(-5.1), np.float64(-0.8), np.float64(-5.1)]",True
bbw_pct,bull_put,<=,0.16666666666666666,bottom 20%,599,8.64,6.55,2.09,0.55,"[np.float64(6.0), np.float64(1.1), np.float64(-16.9)]",False
bbw_pct,bull_put,>=,0.7916666666666666,top 20%,601,3.63,7.81,-4.18,-1.13,"[np.float64(-14.4), np.float64(-0.1), np.float64(-2.2)]",True
bbw_pct,bull_put,>=,0.9083333333333333,top 10%,316,8.89,6.74,2.15,0.44,"[np.float64(-39.7), np.float64(11.1), np.float64(1.1)]",False
bbw_pct,bear_call,<=,0.18833333333333352,bottom 20%,201,5.37,3.11,2.27,0.45,"[np.float64(12.0), np.float64(-1.6), np.float64(1.7)]",False
bbw_pct,bear_call,>=,0.8416666666666667,top 20%,203,-1.42,4.82,-6.24,-1.2,"[np.float64(-33.4), np.float64(-13.8), np.float64(-4.3)]",True
atr_ratio,bull_put,<=,0.7285295788509978,bottom 10%,300,13.23,6.27,6.96,1.51,"[np.float64(9.4), np.float64(6.2), np.float64(1.0)]",False
atr_ratio,bull_put,<=,0.8029366115471493,bottom 20%,599,10.83,6.0,4.83,1.32,"[np.float64(10.7), np.float64(2.7), np.float64(0.6)]",False
atr_ratio,bull_put,>=,1.1831384319858336,top 20%,599,9.4,6.36,3.04,0.81,"[np.float64(-2.7), np.float64(3.4), np.float64(8.3)]",False
atr_ratio,bull_put,>=,1.3330961783205033,top 10%,300,5.63,7.12,-1.49,-0.3,"[np.float64(-15.7), np.float64(-1.0), np.float64(10.9)]",False
atr_ratio,bear_call,<=,0.8308136952418782,bottom 20%,201,1.59,4.06,-2.46,-0.51,"[np.float64(-3.0), np.float64(33.1), np.float64(-4.5)]",False
atr_ratio,bear_call,>=,1.145257146851615,top 20%,201,0.39,4.36,-3.97,-0.76,"[np.float64(-2.5), np.float64(-18.5), np.float64(-2.1)]",True
nr7,bull_put,>=,1.0,flag = 1,484,4.29,7.49,-3.19,-0.8,"[np.float64(-5.1), np.float64(-5.3), np.float64(5.9)]",False
inside,bull_put,>=,1.0,flag = 1,359,11.51,6.35,5.16,1.08,"[np.float64(-25.0), np.float64(14.3), np.float64(10.1)]",False
rv20,bull_put,<=,0.13117800875627947,bottom 10%,300,10.89,6.53,4.36,1.07,"[np.float64(-6.4), np.float64(4.9), np.float64(11.5)]",False
rv20,bull_put,<=,0.16322765929661776,bottom 20%,599,10.94,5.98,4.96,1.46,"[np.float64(-0.7), np.float64(8.0), np.float64(-5.1)]",False
rv20,bull_put,>=,0.355466729093291,top 20%,599,6.0,7.21,-1.22,-0.32,"[np.float64(15.1), np.float64(-14.0), np.float64(11.2)]",False
rv20,bull_put,>=,0.44468520552432195,top 10%,300,-5.87,8.4,-14.27,-2.97,"[np.float64(15.0), np.float64(-24.1), np.float64(-31.7)]",False
rv20,bear_call,<=,0.22992934864339087,bottom 20%,201,-1.46,4.82,-6.27,-1.19,"[np.float64(17.6), np.float64(-9.4), np.float64(-9.0)]",False
rv20,bear_call,>=,0.4111727732205578,top 20%,201,-5.09,5.73,-10.82,-2.18,"[np.float64(-4.5), np.float64(49.6), np.float64(-13.0)]",False
