feat,grp,op,thr,lab,n_veto,veto_pnl,rest_pnl,diff,t,yrs,all_yrs
ret1z_s,all,<=,-1.2093334278127943,bottom 10%,810,3.43,6.75,-3.32,-1.1,"[np.float64(-10.7), np.float64(5.2), np.float64(-6.3), np.float64(-4.9), np.float64(4.1), np.float64(-13.3)]",False
ret1z_s,all,<=,-0.7302072273145291,bottom 20%,1619,7.18,6.22,0.96,0.42,"[np.float64(-8.5), np.float64(-1.2), np.float64(7.2), np.float64(-4.8), np.float64(8.8), np.float64(-3.6)]",False
ret1z_s,all,>=,0.7920163595817163,top 20%,1619,4.73,6.84,-2.11,-0.95,"[np.float64(-3.0), np.float64(2.5), np.float64(-3.8), np.float64(-7.4), np.float64(2.3), np.float64(-9.2)]",False
ret1z_s,all,>=,1.2426303416767812,top 10%,810,4.9,6.58,-1.69,-0.57,"[np.float64(-22.1), np.float64(7.6), np.float64(0.1), np.float64(-9.0), np.float64(-5.5), np.float64(1.7)]",False
ret2z_s,all,<=,-1.2032128122750982,bottom 10%,810,3.99,6.69,-2.7,-0.9,"[np.float64(-8.5), np.float64(8.1), np.float64(1.9), np.float64(-3.9), np.float64(-10.3), np.float64(-7.3)]",False
ret2z_s,all,<=,-0.7231343057017161,bottom 20%,1619,5.55,6.63,-1.08,-0.48,"[np.float64(-5.2), np.float64(2.8), np.float64(0.1), np.float64(-0.3), np.float64(-3.8), np.float64(-1.2)]",False
ret2z_s,all,>=,0.8457586030164349,top 20%,1619,6.42,6.41,0.01,0.0,"[np.float64(-16.0), np.float64(4.8), np.float64(3.1), np.float64(-5.6), np.float64(4.9), np.float64(-5.1)]",False
ret2z_s,all,>=,1.2827132161910768,top 10%,810,4.48,6.63,-2.15,-0.75,"[np.float64(-18.5), np.float64(1.0), np.float64(-3.2), np.float64(-7.2), np.float64(3.8), np.float64(-2.1)]",False
ret5z_s,all,<=,-1.0907011896594718,bottom 10%,810,2.87,6.81,-3.94,-1.3,"[np.float64(-17.3), np.float64(0.2), np.float64(-5.8), np.float64(-3.5), np.float64(-7.4), np.float64(2.7)]",False
ret5z_s,all,<=,-0.6576004001412326,bottom 20%,1619,6.13,6.49,-0.35,-0.16,"[np.float64(-1.3), np.float64(6.6), np.float64(-6.9), np.float64(1.3), np.float64(1.4), np.float64(-2.9)]",False
ret5z_s,all,>=,0.9519254754148815,top 20%,1619,8.41,5.92,2.5,1.14,"[np.float64(-8.2), np.float64(4.3), np.float64(7.2), np.float64(4.9), np.float64(-4.1), np.float64(7.3)]",False
ret5z_s,all,>=,1.4037364546406341,top 10%,810,7.68,6.27,1.4,0.48,"[np.float64(-25.3), np.float64(5.9), np.float64(9.0), np.float64(-0.9), np.float64(-3.6), np.float64(10.0)]",False
ret10z_s,all,<=,-0.9681683487823419,bottom 10%,810,5.97,6.47,-0.5,-0.17,"[np.float64(-6.0), np.float64(-1.0), np.float64(-16.3), np.float64(-1.1), np.float64(6.1), np.float64(14.8)]",False
ret10z_s,all,<=,-0.5491671939001728,bottom 20%,1619,6.91,6.29,0.62,0.28,"[np.float64(3.8), np.float64(1.5), np.float64(-9.7), np.float64(-6.2), np.float64(4.5), np.float64(11.2)]",False
ret10z_s,all,>=,1.08535355616206,top 20%,1619,6.61,6.37,0.25,0.11,"[np.float64(-23.5), np.float64(10.5), np.float64(-2.0), np.float64(7.8), np.float64(-6.7), np.float64(4.8)]",False
ret10z_s,all,>=,1.527242722163825,top 10%,810,7.82,6.26,1.56,0.52,"[np.float64(-41.5), np.float64(15.1), np.float64(0.3), np.float64(3.7), np.float64(-4.5), np.float64(11.6)]",False
ret20z_s,all,<=,-0.82207317277655,bottom 10%,810,5.05,6.57,-1.51,-0.52,"[np.float64(-8.5), np.float64(-11.0), np.float64(-10.9), np.float64(-2.8), np.float64(7.2), np.float64(15.9)]",False
ret20z_s,all,<=,-0.4214649049033525,bottom 20%,1619,5.41,6.67,-1.25,-0.56,"[np.float64(8.1), np.float64(-5.2), np.float64(-8.2), np.float64(-0.5), np.float64(-3.2), np.float64(11.0)]",False
ret20z_s,all,>=,1.2406057676277862,top 20%,1619,8.4,5.92,2.48,1.1,"[np.float64(-7.6), np.float64(0.8), np.float64(8.8), np.float64(19.6), np.float64(2.6), np.float64(-7.1)]",False
ret20z_s,all,>=,1.6955092006121724,top 10%,810,9.32,6.09,3.23,1.05,"[np.float64(-7.5), np.float64(2.8), np.float64(-0.8), np.float64(15.5), np.float64(7.5), np.float64(-2.7)]",False
